epoch,lr,train_loss,val_loss,val_weighted_score,train_action_w_f1,val_action_w_f1,val_action_c_f1,val_action_c_acc,train_gaze_w_f1,val_gaze_w_f1,val_gaze_c_f1,val_gaze_c_acc,train_hands_w_f1,val_hands_w_f1,val_hands_c_f1,val_hands_c_acc,train_talk_w_f1,val_talk_w_f1,val_talk_c_f1,val_talk_c_acc,val_gaze_bin_w_f1,val_gaze_bin_c_f1,val_gaze_bin_c_acc
1,0.00075,1.314009767123863,0.5172335431331435,0.8192243432123659,0.765012362048364,0.9085547994872432,0.907638965354304,0.9349140486069947,0.5775084420853003,0.4047391410544563,0.40403531031186446,0.45711060948081267,0.7231432550559151,0.8773584575477429,0.8778759911567322,0.932100878694511,0.7145433750934123,0.7094840693057622,0.7096834360380042,0.7624184943687018,0.4633514778769128,0.45976822296334274,0.46176644931831656
2,0.00075,0.7947968765191203,0.4365157717984262,0.837889489763766,0.8648688011453701,0.9322261434208369,0.9327839618490642,0.9468879668049792,0.7444324798638424,0.38101336759442883,0.38193389421947566,0.43792325056433407,0.8215933475422955,0.9019386453436382,0.9019694625918198,0.9519570923199817,0.7378427796769629,0.7496176027533825,0.7490737215463554,0.7765263781861292,0.41143221860278745,0.4067551481022851,0.4067575577949022
3,0.00075,0.6292145604802739,0.4119738786541371,0.8544038939322425,0.8917171772674951,0.9289947813899508,0.928424736633711,0.9481920569057498,0.8172237229211832,0.5327270482683761,0.5317207879919654,0.5485327313769752,0.8522166563272414,0.8865512955096828,0.8882440052018548,0.946821864658222,0.7438596895504478,0.7189226250852634,0.7184811913932898,0.7669235328986367,0.4860592380015215,0.4823081599215814,0.4858328393598103
4,0.00075,0.5362616928921673,0.5277576790070434,0.8131651578466211,0.9099348005414829,0.8790021935505844,0.8799821302528433,0.9261410788381743,0.8546202620846243,0.46535564906137034,0.4654739572977704,0.49774266365688485,0.8803353514790487,0.8970459970087614,0.8971775640179924,0.9476206778500513,0.7460821401708378,0.7526947134062649,0.7527763334633216,0.7754593953764078,0.41955779536217847,0.4138613239366149,0.4141078838174274
5,0.00075,0.45705395275485994,0.5040107854490001,0.8374306752004422,0.9229010914514603,0.9277149502767427,0.9272873873824129,0.9426200355660936,0.8858489593213787,0.4256839433688514,0.4237769092313791,0.4548532731376975,0.8888427574928767,0.8755984716974402,0.8773321694871663,0.952755905511811,0.7488251257483817,0.7404922337944224,0.7405950139865953,0.7708358032009485,0.5004281487218427,0.49508719866868933,0.4999407231772377
6,0.00075,0.40540648095886866,0.5887471399178175,0.8302087979074853,0.9317758601180395,0.9186170564062809,0.9192548468788277,0.9323058684054535,0.9091170498423499,0.4421392302240934,0.44094863504342785,0.4762979683972912,0.9047138847372311,0.8325382094602433,0.8329524050181508,0.9436266118909049,0.7506343209179989,0.7455960575141654,0.7458573866795335,0.7694131594546533,0.4825315046394256,0.47734761573431816,0.4819205690574985
7,0.000375,0.37832270524887684,0.5341811894672766,0.8454486736343658,0.9401074174038224,0.9275373786824087,0.9279781980318865,0.947836395969176,0.9156347148823806,0.46580945459366213,0.46468577010407786,0.5237020316027088,0.918132403592693,0.891140001291486,0.8895284204066083,0.9565217391304348,0.7526339111085345,0.7437018937926273,0.7441645491154556,0.7765263781861292,0.478358787523094,0.47479971049594705,0.47788974510966215
8,0.000375,0.2697676001960408,0.5419728342051932,0.8504780116529982,0.9597614300136861,0.9201732618157344,0.9243265250370853,0.9512744516893894,0.9533680220716013,0.516878407701093,0.5168403670814847,0.5395033860045146,0.9394974284618303,0.8807229537855603,0.8809648421151908,0.9569782038114801,0.7605858182435188,0.7562035711012076,0.7565380970659323,0.7817427385892116,0.44790633351106923,0.4422861626183916,0.44350918790752814
