proposed,baseline,head,n_boot,n_common_pairs,proposed_observed_clean_f1_macro,proposed_observed_masked_f1_macro,baseline_observed_clean_f1_macro,baseline_observed_masked_f1_macro,proposed_observed_relative_drop,baseline_observed_relative_drop,observed_delta_relative_drop_baseline_minus_proposed,mean_delta_relative_drop_baseline_minus_proposed,std_delta_relative_drop_baseline_minus_proposed,ci95_low_delta_relative_drop_baseline_minus_proposed,ci95_high_delta_relative_drop_baseline_minus_proposed,win_rate_lower_drop,p_like_delta_le0
hgnet_explicit_region_scalar_mask_gate,NoOcc,gaze,5000,372,0.6452517074359467,0.5851258700658954,0.504848149816127,0.4887379465189052,0.09318198879159091,0.03191098809233908,-0.06127100069925183,-0.06181221451126901,0.03912520914571023,-0.13820243196878654,0.014549646084661973,0.0608,0.9392
hgnet_explicit_region_scalar_mask_gate,task_gated_late,gaze,5000,372,0.6452517074359467,0.5851258700658954,0.6246268089885364,0.5383333789129,0.09318198879159091,0.13815197944412935,0.04496999065253844,0.04561037548899754,0.04278397729495962,-0.03735228470057438,0.1304308328773281,0.861,0.139
hgnet_explicit_region_scalar_mask_gate,task_region_scalar_gated_late,gaze,5000,372,0.6452517074359467,0.5851258700658954,0.5573838746228161,0.5563980172467689,0.09318198879159091,0.0017687224566990153,-0.0914132663348919,-0.09088051670715722,0.04200691643485461,-0.17590107927821838,-0.01088832673254362,0.0128,0.9872
hgnet_explicit_region_scalar_mask_gate,explicit_region_scalar_mask_gate,gaze,5000,372,0.6452517074359467,0.5851258700658954,0.509280914585808,0.5174938887619834,0.09318198879159091,-0.0161266089911398,-0.10930859778273071,-0.10898184114732899,0.056276273915523714,-0.2215103428253266,0.0027835654262313384,0.0278,0.9722
hgnet_explicit_region_scalar_mask_gate,dmd_original,gaze,5000,372,0.6452517074359467,0.5851258700658954,0.4645618535324375,0.3996355569497442,0.09318198879159091,0.13975813142858473,0.04657614263699382,0.04718691259743581,0.047747449172345455,-0.045887770998075346,0.1412472700666007,0.8394,0.1606
hgnet_explicit_region_scalar_mask_gate,DriveAct,gaze,5000,372,0.6452517074359467,0.5851258700658954,0.5303216369043754,0.5222939771149834,0.09318198879159091,0.015137341625832097,-0.07804464716575882,-0.07776117544064777,0.04981514235472025,-0.17574244822606042,0.021533880086582618,0.061,0.939
hgnet_explicit_region_scalar_mask_gate,pose_guided,gaze,5000,372,0.6452517074359467,0.5851258700658954,0.49856738290950403,0.48414671710049917,0.09318198879159091,0.02892420624239349,-0.06425778254919742,-0.06596364986938781,0.05277237526295574,-0.17074955445993995,0.037582090805446264,0.1068,0.8932
hgnet_explicit_region_scalar_mask_gate,skateformer,gaze,5000,372,0.6452517074359467,0.5851258700658954,0.5518505323475471,0.4391074763851443,0.09318198879159091,0.204299985872622,0.11111799708103108,0.11052465160076413,0.0445404143415432,0.02268844010469142,0.19525467774027047,0.994,0.006
hgnet_explicit_region_scalar_mask_gate,spatiotemporal,gaze,5000,372,0.6452517074359467,0.5851258700658954,0.5507876676442766,0.4721182705322706,0.09318198879159091,0.14283071632390681,0.0496487275323159,0.05077425597903759,0.044188336850690395,-0.036309568670874474,0.13690955963962945,0.8778,0.1222
hgnet_explicit_region_scalar_mask_gate,attention_bias,gaze,5000,372,0.6452517074359467,0.5851258700658954,0.5192138522562753,0.5107398876372753,0.09318198879159091,0.016320759899174177,-0.07686122889241673,-0.0763922185249951,0.05068620427284169,-0.17264296150627229,0.025157525636455146,0.0676,0.9324
hgnet_explicit_region_scalar_mask_gate,dfs,gaze,5000,372,0.6452517074359467,0.5851258700658954,0.511152258586183,0.4632276568549261,0.09318198879159091,0.09375797705328245,0.0005759882616915429,0.00014424228200797962,0.04706886086695222,-0.09338663498083084,0.08939944400046464,0.5038,0.4962
hgnet_explicit_region_scalar_mask_gate,hgnet_task_gated_late,gaze,5000,372,0.6452517074359467,0.5851258700658954,0.49025802330576773,0.45452412878546844,0.09318198879159091,0.07288793415220154,-0.020294054639389367,-0.020646867984988323,0.04526121863437773,-0.11165509528032035,0.06654020383312881,0.3278,0.6722
hgnet_explicit_region_scalar_mask_gate,hgnet_task_region_scalar_gated_late,gaze,5000,372,0.6452517074359467,0.5851258700658954,0.6667486949473301,0.5552635963478341,0.09318198879159091,0.1672070743360103,0.07402508554441938,0.07354463282626927,0.036068640124041006,0.002471086268466196,0.14397073570070287,0.978,0.022
