epoch,lr,train_loss,val_loss,val_weighted_score,train_action_w_f1,val_action_w_f1,val_action_c_f1,val_action_c_acc,train_gaze_w_f1,val_gaze_w_f1,val_gaze_c_f1,val_gaze_c_acc,train_hands_w_f1,val_hands_w_f1,val_hands_c_f1,val_hands_c_acc,train_talk_w_f1,val_talk_w_f1,val_talk_c_f1,val_talk_c_acc,val_gaze_bin_w_f1,val_gaze_bin_c_f1,val_gaze_bin_c_acc
1,0.00075,1.1811582455849863,0.5306478322222267,0.8298264028794731,0.772718304302125,0.8894245862365772,0.8894142483027839,0.9134461833280102,0.6356253845000078,0.5644436008828853,0.5660607578423328,0.6105032822757112,0.7238122456067875,0.8426843174113313,0.8417429714433778,0.9049808429118774,0.7312701042288041,0.7629727574012743,0.7630603649367336,0.7874480996486746,0.6132776774300213,0.6082181624983758,0.6259980836793356
2,0.00075,0.7778406121806977,0.4944242926172434,0.8219579015960227,0.8653830812404475,0.8958441748591951,0.8974059160977802,0.9247844139252634,0.773062599080669,0.501402590471112,0.4986124015189529,0.5404814004376368,0.8159937427023028,0.8076140397160497,0.807161765868498,0.9276628352490421,0.7513250854136646,0.7646241289967137,0.7653144702576755,0.7876077930373683,0.5500569568196694,0.5467752792929585,0.5635579687000958
3,0.00075,0.6320489783183774,0.4755277866360605,0.8502992028929623,0.8896383857945461,0.903016463473664,0.9019059098832571,0.9321303098051741,0.8281245221436571,0.6060526400088857,0.6059777543446658,0.6389496717724289,0.8495380687027443,0.8991822974931141,0.9009410344951583,0.9452873563218391,0.7563976889214572,0.759331553481529,0.7594859874693336,0.7829766847652507,0.6062246126184324,0.6004185839311467,0.6242414564037049
4,0.00075,0.5406348886358838,0.5405259501837003,0.8496733247932555,0.9096495493110598,0.9120989257129744,0.9138133642400114,0.931651229639093,0.8531306688523566,0.5431938674785699,0.5477630649195349,0.6083150984682714,0.8814582132643994,0.8991229982175788,0.8996949193119179,0.94727969348659,0.7620073618054102,0.7569414800636343,0.757400363122511,0.7804215905461513,0.5185164150396793,0.5127990265015994,0.5242733950814437
5,0.00075,0.4884321177959166,0.5257877665946442,0.8588922039703306,0.9210071442092427,0.9341530093731009,0.933740518581658,0.9426700734589588,0.8691238430324181,0.5748232901401467,0.574066196184724,0.6148796498905909,0.8888221257808455,0.8087000202751929,0.8103175639589705,0.9253639846743295,0.7643836433670603,0.762071909827289,0.7626431027912881,0.7831363781539444,0.5669597991144224,0.5617422065376222,0.583679335675503
6,0.00075,0.4447732081882761,0.44590224025051645,0.8795922971943267,0.9301152832601428,0.9310258428067845,0.9303153231377089,0.9441073139572022,0.8998577027735405,0.6713198135526066,0.6719100663021611,0.7024070021881839,0.9009812949205896,0.8945405402904686,0.896569773409239,0.9475862068965517,0.7652245958956356,0.7579563453807578,0.758561674233649,0.7780261897157458,0.6060066856709226,0.5980974235210852,0.626956244011498
7,0.00075,0.4174449460023376,0.4594356265539229,0.8599332920284505,0.9364913680934297,0.9246666202063804,0.9262971776459383,0.9425103800702651,0.9052219052187022,0.5877608333448577,0.5841385511839686,0.6170678336980306,0.9171053950720935,0.8544099524538777,0.8552056608504501,0.9500383141762452,0.7671505982389932,0.7669189774650738,0.7676783782730672,0.7903225806451613,0.4539878285474005,0.44815065855839514,0.45161290322580644
8,0.00075,0.3726475512092228,0.5226183447259812,0.8570100957385929,0.944280860246974,0.9310006517451316,0.9319421030011977,0.9434685404024273,0.9153066722664676,0.536423374818143,0.5348918745370601,0.5886214442013129,0.9254089426217472,0.8625309075047811,0.862994397617878,0.9497318007662835,0.7699901631993478,0.7619260032956311,0.7623480539081562,0.7845736186521878,0.6761041643407391,0.6697356171214461,0.7085595656339827
9,0.00075,0.3377352580127431,0.49758876746065345,0.8655187277417407,0.9506806748626654,0.9396575580561165,0.939799800918228,0.9530501437240498,0.9309386306541637,0.5369632180217256,0.5413829124163372,0.6301969365426696,0.9261919628403881,0.8882138159836132,0.8875128955915987,0.9563218390804598,0.7712538613368727,0.7535302155360493,0.7540028135474108,0.7753114021079527,0.5765466473169443,0.5690296403246858,0.5915043117214948
10,0.000375,0.32559615352766647,0.5697121098454642,0.8537092717222532,0.9548670813368201,0.9259823700529387,0.9291251375072377,0.948578728840626,0.9310407661593373,0.48723719569042717,0.49430478150727236,0.5667396061269147,0.9335434426692929,0.9076876779902897,0.907892310984991,0.9573946360153257,0.7707547691298007,0.7671800218986651,0.7677345428519358,0.7896838070903864,0.5269261153907108,0.5224996749165961,0.5367294793995528
11,0.000375,0.21329476714245388,0.6376249026180213,0.8563983887938493,0.9720823750825879,0.9052839879138385,0.9057555319886151,0.9450654742893644,0.9541866648691619,0.6516243078926889,0.655807804768074,0.6805251641137856,0.9579823127586187,0.8574546599549913,0.8591832014434272,0.9526436781609195,0.7758134985474027,0.761377387462927,0.7616005108452992,0.7834557649313318,0.46127929018906044,0.45674506373611934,0.4602363462152667
