run_dir,fusion,occ_enabled,seed,action_clean_f1,action_masked_f1,action_drop,gaze_clean_f1,gaze_masked_f1,gaze_drop,hands_clean_f1,hands_masked_f1,hands_drop,talk_clean_f1,talk_masked_f1,talk_drop,weighted_clean_f1,weighted_masked_f1,weighted_drop
/data/shared/scuppy/hyi/Ablation/AblationB/artifacts/ablation_b_mediapipe_no_occ_original_seed43,concat,False,43,0.8863325604522476,0.8671824492033383,0.019150111248909307,0.5681742029261826,0.4751456883875578,0.09302851453862482,0.7202143171437678,0.7059605728389766,0.014253744304791205,0.7493143178394241,0.7468248971711575,0.0024894206682666287,0.8151460703618487,0.786236869842926,0.028909200518922692
/data/shared/scuppy/hyi/Ablation/AblationB/artifacts/ablation_b_mediapipe_no_occ_original_seed44,concat,False,44,0.8628491566075602,0.8508120076495892,0.012037148957971033,0.6108762595020625,0.45016277730645693,0.16071348219560555,0.7039961011534632,0.702709685655275,0.0012864154981881981,0.7481362635993942,0.745372290741048,0.0027639728583461753,0.8034322718459176,0.7706324050532609,0.03279986679265668
/data/shared/scuppy/hyi/Ablation/AblationB/artifacts/ablation_b_mediapipe_concat_condition_seed43,concat_condition,True,43,0.8962715284132092,0.8668082829323993,0.02946324548080992,0.5243446420881853,0.46106459862177324,0.06328004346641208,0.7218186363836322,0.7089014002680623,0.012917236115569941,0.7314714933746194,0.7206643575131102,0.010807135861509165,0.8147972045095684,0.7828488457484073,0.03194835876116121
/data/shared/scuppy/hyi/Ablation/AblationB/artifacts/ablation_b_mediapipe_concat_condition_seed44,concat_condition,True,44,0.8933038140875247,0.8733325061834134,0.01997130790411128,0.6365591892955436,0.4997817151573407,0.13677747413820285,0.7142047916986914,0.6981530321305651,0.016051759568126323,0.7455341718481034,0.7445959280477564,0.0009382438003470162,0.829493736017873,0.7933451112174347,0.0361486248004383
/data/shared/scuppy/hyi/Ablation/AblationB/artifacts/ablation_b_mediapipe_explicit_region_mask_gate_seed43,explicit_region_mask_gate,True,43,0.885172308595047,0.8618681607481592,0.023304147846887835,0.5489704571145931,0.48609724716488434,0.0628732099497088,0.7220907674227508,0.7175621578642524,0.004528609558498431,0.7440983033814934,0.7384877340967041,0.005610569284789313,0.8113801764950715,0.7849029020897045,0.026477274405367113
/data/shared/scuppy/hyi/Ablation/AblationB/artifacts/ablation_b_mediapipe_explicit_region_mask_gate_seed44,explicit_region_mask_gate,True,44,0.892585863476003,0.881073152279934,0.011512711196069003,0.5194598361410209,0.40566653768754013,0.11379329845348074,0.7232653842583462,0.7009995780936893,0.0222658061646569,0.7321411402700775,0.7322440789212548,-0.00010293865117727563,0.8116626752936936,0.7843133490045164,0.02734932628917724
/data/shared/scuppy/hyi/Ablation/AblationB/artifacts/ablation_b_mediapipe_occ_attention_bias_seed43,occ_attention_bias,True,43,0.9028488505851648,0.8889370234914332,0.013911827093731621,0.49454163750862434,0.457021713161913,0.037519924346711364,0.7026407473771629,0.6992797618850121,0.003360985492150803,0.7452812699876148,0.7521551517743101,-0.006873881786695346,0.813703579273006,0.7983449071955069,0.015358672077499153
/data/shared/scuppy/hyi/Ablation/AblationB/artifacts/ablation_b_mediapipe_occ_attention_bias_seed44,occ_attention_bias,True,44,0.8912349106689859,0.8685843793017306,0.022650531367255256,0.5289271126958213,0.3810735199031932,0.14785359279262805,0.7217658556316386,0.694774769959523,0.02699108567211561,0.7355114239380092,0.7327308066241971,0.0027806173138120727,0.8121556611327275,0.7712841108238525,0.04087155030887504
/data/shared/scuppy/hyi/Ablation/AblationB/artifacts/ablation_b_mediapipe_task_gated_late_seed43,task_gated_late,True,43,0.9024711181696689,0.8822218775247112,0.0202492406449577,0.5728829952486889,0.5178085887592285,0.05507440648946038,0.7230647562440199,0.7077106170127428,0.015354139231277042,0.7473163201601457,0.7527108820124917,-0.0053945618523459915,0.8273345236384807,0.803633208383081,0.023701315255399855
/data/shared/scuppy/hyi/Ablation/AblationB/artifacts/ablation_b_mediapipe_task_gated_late_seed44,task_gated_late,True,44,0.8826195419566593,0.8591552027988448,0.02346433915781443,0.5572187175386938,0.5250512529917873,0.032167464546906444,0.7156687037574493,0.701811172337571,0.013857531419878333,0.7380585775637831,0.7304064355428443,0.007652142020938779,0.8098862862543996,0.7868677689188588,0.023018517335540837
/data/shared/scuppy/hyi/Ablation/AblationB/artifacts/ablation_b_mediapipe_task_region_gated_late_seed43,task_region_gated_late,True,43,0.8855966224812222,0.8664928129850555,0.019103809496166635,0.5381207817565087,0.45296201949987336,0.08515876225663532,0.7175056250347086,0.7027869425945124,0.014718682440196251,0.742156034360512,0.7306517558061112,0.011504278554400837,0.8094941172218283,0.7813005540642766,0.028193563157551605
/data/shared/scuppy/hyi/Ablation/AblationB/artifacts/ablation_b_mediapipe_task_region_gated_late_seed44,task_region_gated_late,True,44,0.8793451894057077,0.8690995906872526,0.010245598718455096,0.572861904336476,0.4420408280065727,0.1308210763299033,0.7161681256835836,0.6988240677092896,0.017344057974293947,0.7352267028275583,0.7363512318497885,-0.0011245290222301474,0.8098490659442031,0.7813758060454811,0.028473259898721945
/data/shared/scuppy/hyi/Ablation/AblationB/artifacts/ablation_b_mediapipe_task_region_scalar_gated_late_seed43,task_region_scalar_gated_late,True,43,0.8943084927764453,0.8790776434400033,0.015230849336442032,0.5557507429168286,0.45798482047830785,0.09776592243852072,0.7180019338579654,0.7074644380691945,0.010537495788770945,0.7495031449137729,0.7476120753589659,0.0018910695548070011,0.8186539070125212,0.7921791210546161,0.026474785957904975
/data/shared/scuppy/hyi/Ablation/AblationB/artifacts/ablation_b_mediapipe_task_region_scalar_gated_late_seed44,task_region_scalar_gated_late,True,44,0.8951337245575072,0.8767853767275273,0.01834834782997985,0.5989872150766645,0.5009636517602275,0.09802356331643702,0.6992563148800738,0.6844345127833907,0.014821802096683045,0.7444665320260264,0.7451106607517559,-0.0006441287257294981,0.8235906475410634,0.79459329578923,0.028997351751833274
