fusion,n,weighted_masked_f1_mean,weighted_masked_f1_std,weighted_drop_mean,weighted_drop_std,action_masked_f1_mean,action_masked_f1_std,action_drop_mean,action_drop_std,gaze_masked_f1_mean,gaze_masked_f1_std,gaze_drop_mean,gaze_drop_std,hands_masked_f1_mean,hands_masked_f1_std,hands_drop_mean,hands_drop_std,talk_masked_f1_mean,talk_masked_f1_std,talk_drop_mean,talk_drop_std
task_gated_late,2,0.7952504886509699,0.008382719732111132,0.023359916295470344,0.00034139895992950885,0.870688540161778,0.01153333736293316,0.021856789901386064,0.0016075492564283644,0.521429920875508,0.0036213321162794077,0.04362093551818341,0.011453470971276969,0.7047608946751569,0.002949722337585947,0.014605835325577687,0.0007483039056993546,0.741558658777668,0.011152223234823677,0.0011287900842963938,0.006523351936642385
task_region_scalar_gated_late,2,0.793386208421923,0.0012070873673069582,0.027736068854869123,0.0012612828969641495,0.8779315100837652,0.0011461333562379772,0.01678959858321094,0.001558749246768909,0.47947423611926765,0.021489415640959825,0.09789474287747887,0.00012882043895814932,0.6959494754262926,0.01151496264290186,0.012679648942726995,0.00214215315395605,0.7463613680553609,0.001250707303604992,0.0006234704145387515,0.0012675991402682496
concat_condition,2,0.788096978482921,0.0052481327345136886,0.03404849178079976,0.0021001330196385483,0.8700703945579064,0.003262111625507047,0.0247172766924606,0.00474596878834932,0.48042315688955695,0.019358558267783738,0.10002875880230747,0.03674871533589538,0.7035272161993137,0.0053741840687485665,0.014484497841848132,0.0015672617262781907,0.7326301427804334,0.011965785267323115,0.005872689830928091,0.0049344460305810744
occ_attention_bias,2,0.7848145090096796,0.013530398185827186,0.028115111193187096,0.012756439115687945,0.8787607013965819,0.010176322094851309,0.01828117923049344,0.004369352136761817,0.41904761653255307,0.03797409662935988,0.09268675856966971,0.055166834222958344,0.6970272659222676,0.0022524959627445162,0.015176035582133207,0.011815050089982404,0.7424429791992536,0.009712172575056521,-0.0020466322364416367,0.004827249550253709
explicit_region_mask_gate,2,0.7846081255471105,0.00029477654259402186,0.026913300347272177,0.00043602594190506397,0.8714706565140466,0.009602495765887398,0.01740842952147842,0.005895718325409416,0.44588189242621223,0.040215354738672104,0.08833325420159477,0.02546004425188597,0.7092808679789708,0.00828128988528154,0.013397207861577665,0.008868598303079234,0.7353659065089795,0.003121827587724668,0.0027538153168060187,0.0028567539679832943
task_region_gated_late,2,0.7813381800548789,3.762599060225247e-05,0.028333411528136773,0.0001398483705851699,0.867796201836154,0.0013033888510985414,0.014674704107310865,0.00442910538885577,0.447501423753223,0.005460595746650337,0.10798991929326932,0.022831157036633992,0.700805505151901,0.001981437442611367,0.0160313702072451,0.001312687767048848,0.7335014938279498,0.0028497380218386326,0.005189874766085345,0.006314403788315492
concat,2,0.7784346374480935,0.00780223239483252,0.030854533655789686,0.001945333136866994,0.8589972284264638,0.008185220776874558,0.01559363010344017,0.003556481145469137,0.46265423284700735,0.012491455540550422,0.12687099836711518,0.033842483828490366,0.7043351292471258,0.0016254435918507948,0.0077700799014897015,0.006483664403301503,0.7460985939561028,0.0007263032150547355,0.002626696763306402,0.00013727609503977334
