model,masked_gaze_f1_macro,masked_gaze_f1_weighted
hgnet_explicit_region_scalar_mask_gate,0.5851258700658954,0.5980904342317452
DriveAct,0.5222939771149834,0.536173267996363
pose_guided,0.48414671710049917,0.48458290787108266
spatiotemporal,0.4721182705322706,0.4707168707993008
dfs,0.4632276568549261,0.48401969438156534
skateformer,0.4391074763851443,0.4606789730737095
dmd_original,0.3996355569497442,0.4507962385085151
