model,clean_weighted_f1_045_045_005_005,masked_weighted_f1_045_045_005_005,weighted_pdi_percent_045_045_005_005,action_clean_weighted_f1,action_masked_weighted_f1,gaze_clean_weighted_f1,gaze_masked_weighted_f1,hands_clean_weighted_f1,hands_masked_weighted_f1,talk_clean_weighted_f1,talk_masked_weighted_f1
DriveAct,0.7445608487378357,0.7253339933311211,2.5823081403363486,0.8923039767925453,0.8874705489453383,0.5735520796264959,0.536173267996363,0.9204291724099869,0.9224656839607995,0.7780832945753575,0.7714198301863101
dfs,0.7339790415505247,0.707646405442365,3.5876550442819517,0.9028701636256051,0.8994858087493806,0.5390865536653364,0.48401969438156534,0.9229895251373336,0.9225780663008576,0.7789808502546879,0.7788005143679305
dmd_original,0.7376276128444905,0.6947795133257177,5.808906658678215,0.914437452216062,0.9045392211957236,0.533339396465521,0.4507962385085151,0.9357624219174567,0.9358381833125573,0.7867981968381057,0.7617329458636487
hgnet_explicit_region_scalar_mask_gate,0.7870520310350019,0.7600726075975506,3.427908495702931,0.906836356538366,0.8992360892592737,0.64944555709863,0.5980904342317452,0.9390582167382264,0.9372170852696541,0.7954451812288459,0.7882963552621847
pose_guided,0.718417001021616,0.7123077922734405,0.8503708486140944,0.9160353918283006,0.9059995095401078,0.4875009591937872,0.48458290787108266,0.944351260857098,0.9433343451270949,0.7921616003764325,0.7875797436410001
skateformer,0.7540066178609044,0.6913156505482008,8.314378922900723,0.9046655564896346,0.8836249240978405,0.5774857247753051,0.4606789730737095,0.9480804943175709,0.9440049223980305,0.792690331516057,0.7835730140220352
spatiotemporal,0.7687201573583243,0.7193009093372443,6.428769630668622,0.9451208262180512,0.935052705248472,0.5689529186278477,0.4707168707993008,0.9539710503543083,0.9472557750766198,0.7937683931990884,0.7868362272383096
