model,clean_gaze_f1_macro,masked_gaze_f1_macro,gaze_macro_pdi_percent,clean_gaze_f1_weighted,masked_gaze_f1_weighted,gaze_weighted_pdi_percent
DriveAct,0.5303216369043754,0.5222939771149834,1.5137341625832097,0.5735520796264959,0.536173267996363,6.517073681342842
pose_guided,0.49856738290950403,0.48414671710049917,2.892420624239349,0.4875009591937872,0.48458290787108266,0.5985734525590141
hgnet_explicit_region_scalar_mask_gate,0.6452517074359467,0.5851258700658954,9.318198879159091,0.64944555709863,0.5980904342317452,7.907533172805372
dfs,0.511152258586183,0.4632276568549261,9.375797705328246,0.5390865536653364,0.48401969438156534,10.214845632739793
dmd_original,0.4645618535324375,0.3996355569497442,13.975813142858474,0.533339396465521,0.4507962385085151,15.476666172427054
spatiotemporal,0.5507876676442766,0.4721182705322706,14.283071632390682,0.5689529186278477,0.4707168707993008,17.266111942173396
skateformer,0.5518505323475471,0.4391074763851443,20.429998587262197,0.5774857247753051,0.4606789730737095,20.226777336711514
