model,clean_weighted_f1_045_045_005_005,masked_weighted_f1_045_045_005_005
hgnet_explicit_region_scalar_mask_gate,0.7870520310350019,0.7600726075975506
DriveAct,0.7445608487378357,0.7253339933311211
spatiotemporal,0.7687201573583243,0.7193009093372443
pose_guided,0.718417001021616,0.7123077922734405
dfs,0.7339790415505247,0.707646405442365
dmd_original,0.7376276128444905,0.6947795133257177
skateformer,0.7540066178609044,0.6913156505482008
