model,head,task_weight,n_common,clean_weighted_f1,masked_weighted_f1,weighted_pdi_percent,clean_macro_f1,masked_macro_f1,macro_pdi_percent,clean_file,masked_file
pose_guided,action,0.45,5944,0.9160353918283006,0.9059995095401078,1.0955780068892746,0.8759326053966358,0.8674516637367732,0.9682185144851724,/data/shared/scuppy/hyi/Ablation/bootstrap_4545/predictions/pose_guided/test_clean_action_clip_predictions.csv,/data/shared/scuppy/hyi/Ablation/bootstrap_4545/predictions/pose_guided/test_masked_action_clip_predictions.csv
pose_guided,gaze,0.45,372,0.4875009591937872,0.48458290787108266,0.5985734525590141,0.49856738290950403,0.48414671710049917,2.892420624239349,/data/shared/scuppy/hyi/Ablation/bootstrap_4545/predictions/pose_guided/test_clean_gaze_clip_predictions.csv,/data/shared/scuppy/hyi/Ablation/bootstrap_4545/predictions/pose_guided/test_masked_gaze_clip_predictions.csv
pose_guided,hands,0.05,6054,0.944351260857098,0.9433343451270949,0.10768405488018382,0.7260599461720297,0.7224899668206202,0.49169209377702155,/data/shared/scuppy/hyi/Ablation/bootstrap_4545/predictions/pose_guided/test_clean_hands_clip_predictions.csv,/data/shared/scuppy/hyi/Ablation/bootstrap_4545/predictions/pose_guided/test_masked_hands_clip_predictions.csv
pose_guided,talk,0.05,5944,0.7921616003764325,0.7875797436410001,0.5783992474837254,0.75480248765066,0.7489773035296239,0.7717494598046679,/data/shared/scuppy/hyi/Ablation/bootstrap_4545/predictions/pose_guided/test_clean_talk_clip_predictions.csv,/data/shared/scuppy/hyi/Ablation/bootstrap_4545/predictions/pose_guided/test_masked_talk_clip_predictions.csv
skateformer,action,0.45,5944,0.9046655564896346,0.8836249240978405,2.3257912541113948,0.8442466877282526,0.8254766908283689,2.2232834517113784,/data/shared/scuppy/hyi/Ablation/bootstrap_4545/predictions/skateformer/test_clean_action_clip_predictions.csv,/data/shared/scuppy/hyi/Ablation/bootstrap_4545/predictions/skateformer/test_masked_action_clip_predictions.csv
skateformer,gaze,0.45,372,0.5774857247753051,0.4606789730737095,20.226777336711514,0.5518505323475471,0.4391074763851443,20.429998587262197,/data/shared/scuppy/hyi/Ablation/bootstrap_4545/predictions/skateformer/test_clean_gaze_clip_predictions.csv,/data/shared/scuppy/hyi/Ablation/bootstrap_4545/predictions/skateformer/test_masked_gaze_clip_predictions.csv
skateformer,hands,0.05,6054,0.9480804943175709,0.9440049223980305,0.4298761491210769,0.7149241425660264,0.7094847775008384,0.7608310786183446,/data/shared/scuppy/hyi/Ablation/bootstrap_4545/predictions/skateformer/test_clean_hands_clip_predictions.csv,/data/shared/scuppy/hyi/Ablation/bootstrap_4545/predictions/skateformer/test_masked_hands_clip_predictions.csv
skateformer,talk,0.05,5944,0.792690331516057,0.7835730140220352,1.1501739243601583,0.7529476812278296,0.7394666438457247,1.7904348095104619,/data/shared/scuppy/hyi/Ablation/bootstrap_4545/predictions/skateformer/test_clean_talk_clip_predictions.csv,/data/shared/scuppy/hyi/Ablation/bootstrap_4545/predictions/skateformer/test_masked_talk_clip_predictions.csv
spatiotemporal,action,0.45,5944,0.9451208262180512,0.935052705248472,1.0652734222212947,0.9124974960216113,0.8921200771696836,2.2331479199418176,/data/shared/scuppy/hyi/Ablation/bootstrap_4545/predictions/spatiotemporal/test_clean_action_clip_predictions.csv,/data/shared/scuppy/hyi/Ablation/bootstrap_4545/predictions/spatiotemporal/test_masked_action_clip_predictions.csv
spatiotemporal,gaze,0.45,372,0.5689529186278477,0.4707168707993008,17.266111942173396,0.5507876676442766,0.4721182705322706,14.283071632390682,/data/shared/scuppy/hyi/Ablation/bootstrap_4545/predictions/spatiotemporal/test_clean_gaze_clip_predictions.csv,/data/shared/scuppy/hyi/Ablation/bootstrap_4545/predictions/spatiotemporal/test_masked_gaze_clip_predictions.csv
spatiotemporal,hands,0.05,6054,0.9539710503543083,0.9472557750766198,0.7039286229067823,0.7179621190016644,0.7118947704205574,0.8450792069007415,/data/shared/scuppy/hyi/Ablation/bootstrap_4545/predictions/spatiotemporal/test_clean_hands_clip_predictions.csv,/data/shared/scuppy/hyi/Ablation/bootstrap_4545/predictions/spatiotemporal/test_masked_hands_clip_predictions.csv
spatiotemporal,talk,0.05,5944,0.7937683931990884,0.7868362272383096,0.8733235059713632,0.7573517822722354,0.7501906993098981,0.9455424982103235,/data/shared/scuppy/hyi/Ablation/bootstrap_4545/predictions/spatiotemporal/test_clean_talk_clip_predictions.csv,/data/shared/scuppy/hyi/Ablation/bootstrap_4545/predictions/spatiotemporal/test_masked_talk_clip_predictions.csv
