epoch,lr,train_loss,val_loss,val_weighted_score,train_action_w_f1,val_action_w_f1,val_action_c_f1,val_action_c_acc,train_gaze_w_f1,val_gaze_w_f1,val_gaze_c_f1,val_gaze_c_acc,train_hands_w_f1,val_hands_w_f1,val_hands_c_f1,val_hands_c_acc,train_talk_w_f1,val_talk_w_f1,val_talk_c_f1,val_talk_c_acc,val_gaze_bin_w_f1,val_gaze_bin_c_f1,val_gaze_bin_c_acc
1,0.00075,0.7080663759421317,0.1887081863692895,0.7713721767238345,0.7235489149802251,0.893301558817203,0.8943754791873306,0.9225723884178532,0.677647271265727,0.6476694977525786,0.6464743926842248,0.6695842450765864,0.6476251912179921,0.8039338822821762,0.8034479727528799,0.8856309487258213,0.7093560601251687,0.7561431413930271,0.756346714879812,0.7837146056630939,0.5994882293987911,0.5935318075701816,0.6133418653015518
2,0.00075,0.4035196399576002,0.21913359203018876,0.7112661819638278,0.8511779687580528,0.898050399352907,0.900247845339813,0.9142537194048952,0.8146379664611926,0.49677378793039684,0.49641324316153707,0.5733041575492341,0.7724365533822936,0.9050698870258186,0.9037233435038807,0.947497697267424,0.747202018605841,0.7512323245851589,0.7516504992605249,0.7785954247320429,0.6635382118664552,0.6598499407326658,0.6928491441369381
3,0.00075,0.28634403011855447,0.1916209949765122,0.7730029157832481,0.8874661259954234,0.9082308542647947,0.9077138011584055,0.9307310830267157,0.8724396138761591,0.6229555500495103,0.6203281271701112,0.6761487964989059,0.8089872125040388,0.9504841705128624,0.9498587411157008,0.9628492477740251,0.7573497915520835,0.7576997548612101,0.7578222195926088,0.785154375299952,0.6400356478754151,0.6351561777311832,0.6608542633178691
4,0.00075,0.2434677007865021,0.16517890846701622,0.7909227170814378,0.9092782896546499,0.9268523509245971,0.9268980966196999,0.9379299312110062,0.8966177195076086,0.6498556119476641,0.6493091820349215,0.6936542669584245,0.8369928853928861,0.881597448691127,0.8817316168089456,0.9384402824685293,0.7607246050548384,0.7508025025984005,0.7508572169282172,0.7894736842105263,0.670439757112574,0.6651947724262113,0.7011678131498961
5,0.00075,0.2001969469488635,0.20246219289970155,0.7672543859316427,0.9209305711974494,0.9109260328735611,0.909353100234267,0.9246520556710927,0.9178380161308497,0.6135175909382664,0.6132702754948725,0.6652078774617067,0.8566042275697203,0.8820577229628933,0.8809766779594852,0.933527786306417,0.7673642967086525,0.7603199743546585,0.7605006591111161,0.7856342985122381,0.6093229633848796,0.6046202027138363,0.6280595104783234
6,0.00075,0.1708536561839341,0.19634313621558108,0.7877950080959735,0.9320683519800338,0.9100559759378093,0.908147313259214,0.9369700847864342,0.9312401408688251,0.655909194621922,0.6563333298924637,0.7089715536105032,0.8647169857142489,0.9202823858162028,0.9189494557955544,0.9585508136321769,0.7696664201749899,0.7559559874834239,0.7566249177588136,0.7821148616221405,0.5439940779925021,0.5371007958319319,0.546632538793793
7,0.00075,0.16008858211970883,0.21006993692250617,0.7800810881876968,0.9407799252367042,0.9250866342788431,0.9249491879451291,0.9424092145256759,0.938931601221622,0.6225023457742282,0.6230237727478168,0.6695842450765864,0.871193078620827,0.9131334348034147,0.9121120549771256,0.9557875345409886,0.7755383925601874,0.7584103993469682,0.7577530625402966,0.7830747080467125,0.554148950027261,0.5491103317819276,0.5624700047992321
8,0.000375,0.14642702109671527,0.22617025506557095,0.7805838623340854,0.9446831782352171,0.9146167151322804,0.9135079370456537,0.9312110062390018,0.9472626751230138,0.6375241796976545,0.6372395670756433,0.6849015317286652,0.8764506646024189,0.8952617227766364,0.8953143837652405,0.9502609763586122,0.7780474592826594,0.7596986876801177,0.7596353258247939,0.7862741961286194,0.6214533589945735,0.6169642103498232,0.6414973604223324
