model,clean_weighted_f1,masked_weighted_f1
spatiotemporal,0.8912825567756918,0.8815496861937657
pose_guided,0.8764866119752043,0.8713468411071301
hgnet_explicit_region_scalar_mask_gate,0.8761064569106816,0.8696677255647178
skateformer,0.8760285792574434,0.8625206357085092
dfs,0.8621820730170761,0.859779222498805
dmd_original,0.872589242877519,0.8596455456455042
DriveAct,0.8583205118941933,0.854527958649844
