head,pdi_rank,model,clean_f1_macro,masked_f1_macro,drop_f1_macro,relative_drop_f1_macro,pdi_f1_percent,n_common_pairs,group,f1_macro,prediction_csv,n_samples,observed_f1_from_pred,boot_mean,ci95_low,ci95_high,boot_std,f1_diff,plot_f1,xerr_low,xerr_high
gaze,10,task_region_gated_late,0.49000940441334845,0.4096631189378845,0.08034628547546396,0.16396886417242656,16.396886417242655,372,Ablation variants,0.4096631189378845,/data/shared/scuppy/hyi/Ablation/bootstrap_4545/predictions/task_region_gated_late/test_masked_gaze_clip_predictions.csv,374,0.40859469022717937,0.40694803372786553,0.3672682456800465,0.44486589145220645,0.019909789180808,0.001068428710705116,0.40859469022717937,0.04132644454713286,0.03627120122502708
gaze,6,occ_token_region_transformer,0.45442936288815794,0.4188489219592521,0.03558044092890583,0.0782969672179012,7.82969672179012,372,Ablation variants,0.4188489219592521,/data/shared/scuppy/hyi/Ablation/bootstrap_4545/predictions/occ_token_region_transformer/test_masked_gaze_clip_predictions.csv,374,0.4166439087262623,0.414657931901063,0.3758240458432125,0.4551713800837348,0.020509001968222015,0.0022050132329898275,0.4166439087262623,0.040819862883049784,0.03852747135747253
gaze,5,hgnet_task_gated_late,0.49025802330576773,0.45452412878546844,0.03573389452029929,0.07288793415220154,7.288793415220154,372,HGNet variants,0.45452412878546844,/data/shared/scuppy/hyi/Ablation/bootstrap_4545/predictions/hgnet_task_gated_late/test_masked_gaze_clip_predictions.csv,374,0.45252429716507375,0.45094466949667783,0.4121172702374248,0.49099009914962854,0.020269080612713253,0.0019998316203946875,0.45252429716507375,0.04040702692764897,0.03846580198455479
gaze,9,explicit_region_mask_gate,0.5313397891022382,0.4558205555113065,0.07551923359093171,0.14212982942333463,14.212982942333463,372,Ablation variants,0.4558205555113065,/data/shared/scuppy/hyi/Ablation/bootstrap_4545/predictions/explicit_region_mask_gate/test_masked_gaze_clip_predictions.csv,374,0.45411482047223806,0.45232085684350515,0.412719221347941,0.49319993134116336,0.02057018453348824,0.0017057350390684567,0.45411482047223806,0.04139559912429708,0.0390851108689253
gaze,4,NoOcc,0.504848149816127,0.4887379465189052,0.016110203297221848,0.03191098809233908,3.191098809233908,372,Ablation variants,0.4887379465189052,/data/shared/scuppy/hyi/Ablation/bootstrap_4545/predictions/NoOcc/test_masked_gaze_clip_predictions.csv,374,0.4868227850902398,0.4843525845595681,0.44404395491751836,0.5257530912863158,0.020858356687340533,0.0019151614286653795,0.4868227850902398,0.04277883017272144,0.03893030619607596
gaze,3,attention_bias,0.5192138522562753,0.5107398876372753,0.008473964618999963,0.016320759899174177,1.6320759899174178,372,Ablation variants,0.5107398876372753,/data/shared/scuppy/hyi/Ablation/bootstrap_4545/predictions/attention_bias/test_masked_gaze_clip_predictions.csv,374,0.5099224875570906,0.5069925458453034,0.458027196814439,0.5532016562847702,0.024370567490252924,0.0008174000801847159,0.5099224875570906,0.05189529074265159,0.04327916872767967
gaze,8,task_gated_late,0.6246268089885364,0.5383333789129,0.08629343007563639,0.13815197944412935,13.815197944412935,372,Ablation variants,0.5383333789129,/data/shared/scuppy/hyi/Ablation/bootstrap_4545/predictions/task_gated_late/test_masked_gaze_clip_predictions.csv,374,0.5367181660044092,0.5336156089911228,0.4842221254999069,0.5802589215827161,0.024104879182069494,0.0016152129084907596,0.5367181660044092,0.05249604050450235,0.04354075557830683
gaze,11,hgnet_task_region_scalar_gated_late,0.6667486949473301,0.5552635963478341,0.11148509859949607,0.1672070743360103,16.720707433601028,372,HGNet variants,0.5552635963478341,/data/shared/scuppy/hyi/Ablation/bootstrap_4545/predictions/hgnet_task_region_scalar_gated_late/test_masked_gaze_clip_predictions.csv,374,0.5539549385244137,0.551036047875818,0.5020814320700467,0.5972970857643158,0.024401715335957933,0.0013086578234203783,0.5539549385244137,0.05187350645436695,0.04334214723990215
gaze,2,task_region_scalar_gated_late,0.5573838746228161,0.5563980172467689,0.0009858573760472833,0.0017687224566990153,0.17687224566990153,372,Ablation variants,0.5563980172467689,/data/shared/scuppy/hyi/Ablation/bootstrap_4545/predictions/hgnet_task_region_scalar_gated_late/test_masked_gaze_clip_predictions.csv,374,0.5539549385244137,0.551036047875818,0.5020814320700467,0.5972970857643158,0.024401715335957933,0.002443078722355163,0.5539549385244137,0.05187350645436695,0.04334214723990215
gaze,1,explicit_region_scalar_mask_gate,0.509280914585808,0.5174938887619834,-0.008212974176175392,-0.0161266089911398,-1.61266089911398,372,Ablation variants,0.5174938887619834,/data/shared/scuppy/hyi/Ablation/bootstrap_4545/predictions/hgnet_explicit_region_scalar_mask_gate/test_masked_gaze_clip_predictions.csv,374,0.5830756612216637,0.5797443014832472,0.5301913848043741,0.6262431860769393,0.024581801708929634,0.06558177245968022,0.5830756612216637,0.052884276417289544,0.04316752485527564
gaze,7,hgnet_explicit_region_scalar_mask_gate,0.6452517074359467,0.5851258700658954,0.06012583737005128,0.09318198879159091,9.318198879159091,372,Ours,0.5851258700658954,/data/shared/scuppy/hyi/Ablation/bootstrap_4545/predictions/hgnet_explicit_region_scalar_mask_gate/test_masked_gaze_clip_predictions.csv,374,0.5830756612216637,0.5797443014832472,0.5301913848043741,0.6262431860769393,0.024581801708929634,0.0020502088442317934,0.5830756612216637,0.052884276417289544,0.04316752485527564
