run_dir,fusion,occ_enabled,seed,action_clean_f1,action_masked_f1,action_drop,gaze_clean_f1,gaze_masked_f1,gaze_drop,hands_clean_f1,hands_masked_f1,hands_drop,talk_clean_f1,talk_masked_f1,talk_drop,weighted_clean_f1,weighted_masked_f1,weighted_drop
/data/shared/scuppy/hyi/Compare/Compare_Pose-guided Multi-task/artifacts/poguise_dms_pose_guided_token_selection_seed42,pose_guided_token_selection,False,42,0.8820259725542514,0.8761179917479281,0.005907980806323265,0.49302098391861093,0.4856190375102512,0.0074019464083597275,0.7071557540921608,0.7016498809395579,0.005505873152602869,0.7423021645327472,0.7441038294561658,-0.0018016649234186,0.7992020120116209,0.7934956294168515,0.005706382594769601
/data/shared/scuppy/hyi/Compare/Compare_Pose-guided Multi-task/artifacts/poguise_dms_pose_guided_token_selection_seed43,pose_guided_token_selection,False,43,0.8465377991511538,0.8342295884295875,0.012308210721566293,0.5376714122385124,0.4696842491731032,0.06798716306540925,0.7251551821181963,0.714482692624988,0.010672489493208315,0.7482081985242108,0.7454738086332837,0.0027343898909271136,0.7831530993796147,0.7631353089708397,0.020017790408774976
/data/shared/scuppy/hyi/Compare/Compare_Pose-guided Multi-task/artifacts/poguise_dms_pose_guided_token_selection_seed44,pose_guided_token_selection,False,44,0.877909699543943,0.8786742974134225,-0.0007645978694794664,0.5749842609325746,0.4193436930059318,0.15564056792664283,0.7017488405712348,0.69544837307725,0.006300467493984718,0.7354106082983973,0.7395153243646475,-0.00410471606625018,0.8077298432926896,0.7844941656662429,0.02323567762644676
