model,task,n_bootstrap,n_samples_mean,clean_acc_mean,clean_acc_std,clean_acc_ci95_low,clean_acc_ci95_high,masked_acc_mean,masked_acc_std,masked_acc_ci95_low,masked_acc_ci95_high,drop_acc_mean,drop_acc_std,drop_acc_ci95_low,drop_acc_ci95_high,clean_f1_macro_mean,clean_f1_macro_std,clean_f1_macro_ci95_low,clean_f1_macro_ci95_high,masked_f1_macro_mean,masked_f1_macro_std,masked_f1_macro_ci95_low,masked_f1_macro_ci95_high,drop_f1_macro_mean,drop_f1_macro_std,drop_f1_macro_ci95_low,drop_f1_macro_ci95_high,pdi_f1_macro_mean,pdi_f1_macro_std,pdi_f1_macro_ci95_low,pdi_f1_macro_ci95_high,clean_f1_weighted_mean,clean_f1_weighted_std,clean_f1_weighted_ci95_low,clean_f1_weighted_ci95_high,masked_f1_weighted_mean,masked_f1_weighted_std,masked_f1_weighted_ci95_low,masked_f1_weighted_ci95_high,drop_f1_weighted_mean,drop_f1_weighted_std,drop_f1_weighted_ci95_low,drop_f1_weighted_ci95_high,pdi_f1_weighted_mean,pdi_f1_weighted_std,pdi_f1_weighted_ci95_low,pdi_f1_weighted_ci95_high
v5_no_occ_original_mediapipe_seed42,hands,5000,6054.0,0.9376528906508094,0.0031212825275618306,0.931615460852329,0.9436736042286091,0.9378497852659399,0.003084624438911367,0.9317806408985795,0.9438387842748596,-0.00019689461513049193,0.0012755692880951756,-0.0026428807400066257,0.002312520647505756,0.7100017991004905,0.005735179726230684,0.7000166903414636,0.7221019002521091,0.705880696017451,0.005164554388589499,0.6975244466562452,0.71732437034888,0.004121103083039536,0.00397127713460434,-0.001904376026101645,0.013123515214891116,0.5783007861672419,0.5548128393341023,-0.26872357988897877,1.8193431913571785,0.9462393668378157,0.002764624550396583,0.940807717570202,0.9516273760431657,0.9443993509191289,0.0028201729806919444,0.9387351522984567,0.9498178451689518,0.0018400159186868863,0.0010618727649072011,-0.0001790715744701049,0.003927815223068066,0.19441167994275593,0.11214529735669518,-0.018964357138757562,0.41484925438099196
v5_no_occ_original_mediapipe_seed42,talk,5000,5944.0,0.7804610363391655,0.005391525924644047,0.7698519515477793,0.7910497981157469,0.7791023216689098,0.0054014469250279855,0.7688383243606999,0.7897039030955586,0.0013587146702557196,0.001920018745606998,-0.0023553162853298115,0.005215343203230138,0.7533982820527625,0.005971037544890175,0.7418513435210112,0.7653532947478492,0.7496439532796495,0.006022251932735083,0.7380858942877773,0.7614978237574839,0.003754328773113046,0.002147584578308419,-0.00043083504239030667,0.007992902365894406,0.49799839137197915,0.28445776797110794,-0.057333345082319215,1.0552730288318428,0.7916565929212477,0.004979867338307479,0.782062826967734,0.8015080772898084,0.7898622487930347,0.005009560044232918,0.7800870778631402,0.799769568824844,0.0017943441282128106,0.0018164969511880278,-0.0017703065793497064,0.00537994613352385,0.22642626900692475,0.22920414391520447,-0.22389405924397462,0.6784055567722452
v5_occ_attention_bias_mediapipe,action,5000,5944.0,0.9183573351278599,0.003509288856160371,0.9115074024226111,0.9251345895020189,0.9077677658142664,0.0037142058774551658,0.9004037685060565,0.9148763458950202,0.010589569313593535,0.002292500450541679,0.00605652759084796,0.015145524899057817,0.8801908656995651,0.006165907228669523,0.8679857855548146,0.8920049898245488,0.8705873615535223,0.006233693627227408,0.858179203252084,0.8825022330091381,0.009603504146042675,0.0034508316321191783,0.002888740909310447,0.016360001408476644,1.090409244377704,0.39023875876519204,0.3302369448891536,1.8515721720576137,0.9194853519868226,0.0034462779678564744,0.9127609996901648,0.9261508344882657,0.908156802272223,0.0037093243310362717,0.9008509531479016,0.9153083835938672,0.01132854971459968,0.002284020892893901,0.006841886251511562,0.015869079739585283,1.2318733756579994,0.24748172581282507,0.7442945032348628,1.7239440750240884
v5_occ_attention_bias_mediapipe,gaze,5000,372.0,0.6234967741935484,0.02486331066566501,0.5752688172043011,0.6720430107526881,0.5862118279569892,0.025115418254155735,0.5376344086021505,0.6344086021505376,0.03728494623655913,0.02320270908219132,-0.008064516129032251,0.08333333333333337,0.5115805294360817,0.018328285431738523,0.4757720754447052,0.5470129856519229,0.5012910488033516,0.02368637349594072,0.45383729735486084,0.5469199950856409,0.010289480632730058,0.026761080075130495,-0.041660136145747824,0.063711155246402,1.9198437550141025,5.206845198091315,-8.47933541478568,12.089105625149136,0.5901816218196795,0.026781334131738076,0.5379459005391861,0.6414422340240428,0.5330484007279801,0.028194022554956157,0.4773026293600788,0.5864531722863797,0.057133221091699285,0.026168527731514683,0.006100026391925717,0.10928123292586571,9.612993600987284,4.277143222988049,1.0899807607334584,17.891787858539494
v5_occ_attention_bias_mediapipe,hands,5000,6054.0,0.9214503799141065,0.0034688763515545377,0.9146019160885365,0.9281466798810704,0.9176429798480346,0.003550599625371001,0.910802775024777,0.9245127188635612,0.0038074000660720166,0.0014135990970306283,0.0009910802775024985,0.006607201850016509,0.6936077105154059,0.006701969193080935,0.6822026002153102,0.7080325006228297,0.6851552497964338,0.005642490987048195,0.675558555531142,0.6972353535368431,0.008452460718972071,0.004548989667335329,0.0019603042485733663,0.01891203016149624,1.215244700373957,0.6462890254411816,0.2842145209319932,2.6863676457500647,0.9301585637494545,0.0030520891920701506,0.9241815682815584,0.9360365534150323,0.9259802696928444,0.00314784031974906,0.9200070496461152,0.9320684516467294,0.004178294056610025,0.001211553690852842,0.0018230138044443484,0.006583840684486591,0.44915666410807736,0.13008579897379932,0.1961606379575358,0.7072812931916553
v5_occ_attention_bias_mediapipe,talk,5000,5944.0,0.7637277254374158,0.0055287759320999975,0.7530240578734859,0.7747350269179004,0.7494473755047106,0.0056533867615265465,0.7383916554508748,0.7605989232839838,0.014280349932705246,0.0024249238989029116,0.009421265141319024,0.01901076716016148,0.739588544645914,0.0059962692439637895,0.7279587491854251,0.7515414088389595,0.7254627794619135,0.006065500006554504,0.7136584408412939,0.7374555808346674,0.01412576518400052,0.002443659769248424,0.009255686668497071,0.018960262149462323,1.909604727749661,0.32803782455049124,1.2524647791133483,2.5538005718765198,0.7767179210495194,0.005081767717522746,0.7669076604850356,0.7868919395800026,0.7634623331686952,0.0052055937525565515,0.7532447721084558,0.7737453442721758,0.013255587880824198,0.002256164296401174,0.008748734809052777,0.017623906090464877,1.7063720428568958,0.28882229641384344,1.1353073061689203,2.2655593488507577
v5_occ_token_region_transformer_mediapipe,action,5000,5944.0,0.9201840174966351,0.003521649915123269,0.9131897711978466,0.926985195154778,0.908758882907133,0.003730315888979122,0.9014131897711979,0.9160497981157469,0.011425134589502013,0.002437358478826676,0.006561238223418586,0.016150740242261152,0.8813685870245719,0.006273999865625008,0.8685905142192433,0.8930282271853006,0.8694988698889472,0.006331345437273084,0.8569557402082756,0.8817504231189103,0.0118697171356247,0.0038417998127719677,0.004286606272687782,0.019288953745187586,1.3459005626696312,0.4334100067095585,0.4923870418520136,2.1852537737287747,0.9212192775817201,0.0034527788746139204,0.9144058752493749,0.927917663436818,0.909372959072578,0.0037049327446755692,0.9020584612738535,0.9166320125581661,0.01184631850914205,0.002397274474107188,0.007118374965000299,0.016520369937682997,1.2857247197858666,0.25917750741215645,0.7756813042711243,1.7914891242803954
v5_occ_token_region_transformer_mediapipe,gaze,5000,372.0,0.5914172043010752,0.024943334994394967,0.543010752688172,0.6397849462365591,0.5348537634408602,0.025426855139672324,0.48655913978494625,0.5860215053763441,0.056563440860215086,0.021140424623012022,0.016129032258064502,0.09677419354838712,0.517148026439346,0.027047639244797472,0.4655789760527795,0.5703629676438269,0.4408751039172849,0.023355352600645914,0.3950199500678817,0.4866324504895036,0.07627292252206105,0.02116089949038389,0.036071511834646616,0.11819839773500632,14.670435242178069,3.7258369021057303,7.273868085862801,21.702833273881957,0.5673036870703505,0.026610237548027,0.5160347665089261,0.6199508019341802,0.4897610768577368,0.027659818106931973,0.4357012860575797,0.5425850440310952,0.07754261021261374,0.022926491071669105,0.03368050197108242,0.12220113405772354,13.625548714566243,3.854284186616149,6.220611860594961,21.011515354794156
v5_occ_token_region_transformer_mediapipe,hands,5000,6054.0,0.9367945160224644,0.003119139909280983,0.9306243805748265,0.9428477039973571,0.936609382226627,0.003135375209595886,0.9306243805748265,0.9428477039973571,0.00018513379583746166,0.0014042816632512227,-0.0024777006937561907,0.0029732408325073845,0.7111108945493093,0.003451065530586044,0.704776309428146,0.7183845048296128,0.7098897229801298,0.00356367717585053,0.7035829338094879,0.7174319547291071,0.0012211715691795592,0.0011944571037461492,-0.0011416931731418334,0.003543196132962003,0.171668332650888,0.16788688685776773,-0.16010448216001974,0.49804809983673787,0.9498025420808021,0.002634513528388367,0.944670568808843,0.9548320009053102,0.949018822575519,0.0026740168765041618,0.9438630659481099,0.9541769186023643,0.0007837195052830766,0.001146691289729967,-0.0014684649209210808,0.003010566242437406,0.08245330458905824,0.12069027680714006,-0.15512592132925204,0.31649535397691925
v5_occ_token_region_transformer_mediapipe,talk,5000,5944.0,0.774132402422611,0.0054392254973349525,0.7636271870794078,0.7848250336473755,0.7680792395693136,0.00552667658832164,0.7574024226110363,0.7789367429340511,0.006053162853297445,0.002201314075022804,0.0018506056527590742,0.010430686406460277,0.7420722592026832,0.006067991494377346,0.7303621848646917,0.7539695126635173,0.7353053801679907,0.0061402388844893985,0.7232133762397329,0.7471989564247695,0.006766879034692438,0.0024258683568099877,0.0020337896897667795,0.011527342599560599,0.9114960273965309,0.3257565214208073,0.27727606248137726,1.5482926915758681,0.7846580661609334,0.005073327905890487,0.7749439894829367,0.7946309378244155,0.778923461899268,0.005152303469670376,0.7691245912940442,0.7890849705495998,0.005734604261665326,0.0020690195147012045,0.0017162550640893533,0.009802441387946148,0.7305895626127267,0.26293954143249815,0.21749149682840851,1.241629797927329
