model,task,n_bootstrap,n_samples_mean,clean_f1_macro_mean,masked_f1_macro_mean,drop_f1_macro_mean,pdi_f1_macro_mean,clean_f1_weighted_mean,masked_f1_weighted_mean,drop_f1_weighted_mean,pdi_f1_weighted_mean
v5_explicit_region_mask_gate_mediapipe,action,5000,5944.0,0.8838888763401869,0.8792512758237071,0.004637600516479707,0.5239191307931731,0.9225736321402488,0.915245290415984,0.007328341724264965,0.7940990399126407
v5_explicit_region_mask_gate_mediapipe,gaze,5000,372.0,0.6055541516311361,0.5163396492674605,0.08921450236367559,14.621368334602424,0.6378512464092433,0.512447971503209,0.12540327490603426,19.6185545705588
v5_explicit_region_mask_gate_mediapipe,hands,5000,6054.0,0.7059694583282516,0.693681440607305,0.012288017720946752,1.733716010277734,0.9356608007794645,0.9338433962342049,0.0018174045452595635,0.19417568479375774
v5_explicit_region_mask_gate_mediapipe,talk,5000,5944.0,0.743560902335056,0.7308446015443398,0.012716300790716145,1.7099070636533256,0.782232185782437,0.7707748761244086,0.011457309658028499,1.4644997763060121
v5_explicit_region_scalar_mask_gate_medipipe,action,5000,5944.0,0.9044510597270781,0.8910259748678531,0.013425084859224898,1.483907461708272,0.9404412409464541,0.9330193172581428,0.007421923688311226,0.7890803970377219
v5_explicit_region_scalar_mask_gate_medipipe,gaze,5000,372.0,0.5198051572116699,0.42902190790728384,0.09078324930438604,17.389608382315124,0.5540700054062998,0.44671032104321273,0.10735968436308703,19.35647589367939
v5_explicit_region_scalar_mask_gate_medipipe,hands,5000,6054.0,0.7222605889242805,0.7110183615529457,0.011242227371334788,1.5492068113305018,0.9606870412585417,0.956384580047527,0.004302461211014644,0.4477985560546087
v5_explicit_region_scalar_mask_gate_medipipe,talk,5000,5944.0,0.75424894180309,0.7467103167554165,0.007538625047673437,0.9988434003962495,0.7936863166326827,0.7862992327229165,0.007387083909766329,0.9302911359339094
v5_no_occ_original_mediapipe_seed42,action,5000,5944.0,0.8656903389195184,0.8312823999079354,0.03440793901158302,3.9743311281789824,0.9175388222919232,0.893486600707143,0.024052221584780046,2.621221227612399
v5_no_occ_original_mediapipe_seed42,gaze,5000,372.0,0.5444086684743651,0.5060619708243127,0.03834669765005234,6.9581118276820195,0.5689598460870924,0.5287210603557035,0.04023878573138878,7.018287349311521
