model,task,clean_f1_macro_mean,clean_f1_macro_std,clean_f1_macro_ci_low,clean_f1_macro_ci_high,masked_f1_macro_mean,masked_f1_macro_std,masked_f1_macro_ci95_low,masked_f1_macro_ci95_high,drop_f1_macro_mean,drop_f1_macro_std,drop_f1_macro_ci_low,drop_f1_macro_ci_high,pdi_f1_macro_mean,pdi_f1_macro_std,pdi_f1_macro_ci95_low,pdi_f1_macro_ci95_high,clean_f1_weighted_mean,clean_f1_weighted_std,clean_f1_weighted_ci_low,clean_f1_weighted_ci_high,masked_f1_weighted_mean,masked_f1_weighted_std,masked_f1_weighted_ci_low,masked_f1_weighted_ci_high,drop_f1_weighted_mean,drop_f1_weighted_std,drop_f1_weighted_ci_low,drop_f1_weighted_ci_high,pdi_f1_weighted_mean,pdi_f1_weighted_std,pdi_f1_weighted_ci_low,pdi_f1_weighted_ci_high,clean_acc_mean,clean_acc_std,clean_acc_ci_low,clean_acc_ci_high,masked_acc_mean,masked_acc_std,masked_acc_ci_low,masked_acc_ci_high,drop_acc_mean,drop_acc_std,drop_acc_ci_low,drop_acc_ci_high
v5_task_region_gated_late_mediapipe,action,0.9042756680524175,0.005676894440033267,0.8928203355809836,0.9151134240491482,0.9004411202781294,0.005633242128050476,0.8890331237657879,0.9110389675927888,0.0038345477742880822,0.0032638963376182798,-0.0025963717390387175,0.010177017669946388,0.4233811486454008,0.36027065102973693,-0.28764236179113384,1.1244525338405567,0.9319732062722261,0.003263755178832607,0.9255506881640635,0.9382737715845454,0.9253502180411939,0.003400387306373643,0.9187169120042891,0.9318388183461027,0.006622988231032259,0.002038232196092082,0.00262093224323553,0.010595226160799321,0.7104634468182986,0.21813513292262046,0.28301542232596383,1.1353840146728529,0.9314624495289366,0.0032956347183480316,0.9249663526244952,0.9377523553162852,0.9252419582772543,0.0034017141719069662,0.9185733512786004,0.931864064602961,0.006220491251682321,0.0020373790535531742,0.0021870794078062,0.0102624495289367
v5_explicit_region_mask_gate_mediapipe,action,0.8838888763401869,0.006062424510862597,0.8718364496656679,0.8957036245127311,0.8792512758237071,0.0060491707385362855,0.867016283631456,0.8909008125461033,0.004637600516479667,0.0034829200238006403,-0.00227516553782523,0.011548821598699003,0.5239191307931731,0.3930990067837471,-0.25993179962934215,1.3005472467350006,0.9225736321402488,0.0033854906652480217,0.9157545013501986,0.9289994837748814,0.915245290415984,0.0035253771476707503,0.908280766788886,0.9220750509424902,0.007328341724264914,0.0022789915788769878,0.0029221308934957325,0.011856665541893099,0.7940990399126407,0.24624793392599342,0.3175535958822699,1.2841468592108631,0.9210210632570659,0.0034799242017464426,0.9140309555854644,0.927658142664872,0.9140157806191117,0.0035963042087932503,0.9069650067294752,0.92092866756393,0.007005282637954184,0.0023117848736783613,0.0025235531628532,0.0116083445491251
v5_occ_attention_bias_mediapipe,action,0.8801908656995651,0.006165907228669533,0.8679857855548146,0.8920049898245488,0.8705873615535223,0.006233693627227435,0.858179203252084,0.8825022330091381,0.009603504146042626,0.0034508316321191757,0.002888740909310395,0.016360001408476592,1.0904092443777038,0.39023875876519204,0.3302369448891536,1.8515721720576137,0.9194853519868228,0.003446277967856474,0.9127609996901648,0.9261508344882657,0.9081568022722231,0.0037093243310362773,0.9008509531479016,0.9153083835938672,0.011328549714599631,0.0022840208928939015,0.006841886251511488,0.015869079739585214,1.2318733756579994,0.24748172581282557,0.7442945032348628,1.7239440750240884,0.9183573351278601,0.003509288856160382,0.9115074024226112,0.9251345895020188,0.9077677658142665,0.0037142058774551614,0.9004037685060565,0.9148763458950201,0.010589569313593485,0.002292500450541675,0.0060565275908479,0.01514552489905773
v5_occ_token_region_transformer_mediapipe,action,0.8813685870245719,0.006273999865625001,0.8685905142192433,0.8930282271853006,0.8694988698889472,0.006331345437273074,0.8569557402082756,0.8817504231189103,0.011869717135624652,0.0038417998127719703,0.004286606272687689,0.01928895374518757,1.3459005626696312,0.43341000670955837,0.4923870418520136,2.1852537737287747,0.9212192775817201,0.003452778874613908,0.914405875249375,0.9279176634368179,0.909372959072578,0.0037049327446755506,0.9020584612738534,0.9166320125581661,0.011846318509142001,0.002397274474107187,0.007118374965000275,0.01652036993768298,1.2857247197858668,0.2591775074121563,0.7756813042711243,1.7914891242803954,0.9201840174966351,0.003521649915123269,0.9131897711978466,0.926985195154778,0.9087588829071332,0.0037303158889791335,0.901413189771198,0.9160497981157468,0.011425134589501963,0.0024373584788266755,0.0065612382234185,0.0161507402422611
v5_task_gated_late_mediapipe,action,0.8808380450004082,0.007496225978991851,0.8652854865096473,0.8949654712346071,0.8677962354575213,0.0077713409988009,0.8517257356576556,0.882490429082922,0.013041809542886964,0.004199480267953682,0.005093447394724162,0.02178047309573855,1.4798551404362585,0.47425646677354677,0.5789480457813048,2.4515715017018995,0.9375328536161658,0.003081625382878446,0.9313227601231236,0.9436063720882663,0.9298347876452769,0.003269177520465413,0.9233517031262324,0.9363094318709063,0.007698065970888866,0.0020481031935981582,0.0036859596780394552,0.011742725768958602,0.8209362721971895,0.21782249928282157,0.39399387451258383,1.2499548770359816,0.9376910497981158,0.0030752764309426323,0.9315275908479138,0.9436406460296096,0.929842328398385,0.0032788710234379686,0.9234522207267832,0.9362382234185732,0.007848721399730774,0.0020533891296938413,0.0038694481830418,0.0119448183041722
v5_task_region_gated_late_mediapipe,gaze,0.4768702871485173,0.020729375166260673,0.4357732573084554,0.5180840995425126,0.48097848339730237,0.023496372316886106,0.43543886949669236,0.5276519054062796,-0.004108196248785001,0.019817992008903478,-0.04309276348722193,0.033461478569532264,-0.9230023931593178,4.1876613151880955,-9.418177380819634,6.829548728733359,0.5560118176698137,0.02719534134305626,0.5032814943440811,0.6111521797140967,0.5390441730288285,0.027831210851668172,0.4848248304334664,0.5925719762871517,0.016967644640985127,0.020672269724895873,-0.023424944929786733,0.05735393125349404,2.995251287695378,3.68465866433625,-4.3352551139818996,10.052400662469102,0.5885827956989248,0.025225051179206304,0.5403225806451613,0.6397849462365591,0.5830537634408602,0.025101571736915042,0.532258064516129,0.6317204301075269,0.005529032258064511,0.019236461342639923,-0.0322580645161291,0.043010752688172
v5_task_gated_late_mediapipe,gaze,0.4741376235496461,0.020064635192387024,0.4337135148642889,0.513114542195376,0.476571497164357,0.019807183646124278,0.43673652022109355,0.5158195716803621,-0.002433873614710881,0.023423446050097434,-0.047697021547782416,0.043982548662991956,-0.6394655279966983,4.975401642625988,-10.599667571128778,8.932193550582404,0.5489538565009472,0.027050774534245342,0.4956972359803966,0.6032282002970453,0.5502852543096839,0.02712150611606652,0.49623111553913857,0.6027600513602429,-0.0013313978087366213,0.025432924413672744,-0.049033193070724415,0.04904717919416629,-0.35052704064361945,4.6626370822634735,-9.46981523444751,8.567230885843657,0.5779333333333333,0.02547608395516634,0.529502688172043,0.6290322580645161,0.5835876344086022,0.024943465776750315,0.5349462365591398,0.6317204301075269,-0.005654301075268814,0.023668711897784796,-0.0510752688172043,0.0403225806451613
v5_occ_attention_bias_mediapipe,gaze,0.5115805294360817,0.0183282854317385,0.4757720754447052,0.5470129856519229,0.5012910488033516,0.023686373495940702,0.45383729735486084,0.5469199950856409,0.010289480632730042,0.026761080075130436,-0.04166013614574777,0.06371115524640196,1.9198437550141025,5.206845198091314,-8.47933541478568,12.089105625149136,0.5901816218196795,0.026781334131738093,0.5379459005391861,0.6414422340240428,0.5330484007279801,0.028194022554956195,0.4773026293600788,0.5864531722863797,0.057133221091699236,0.02616852773151469,0.0061000263919257156,0.10928123292586571,9.612993600987284,4.277143222988049,1.0899807607334584,17.891787858539494,0.6234967741935484,0.02486331066566496,0.5752688172043011,0.6720430107526881,0.5862118279569892,0.025115418254155766,0.5376344086021505,0.6344086021505376,0.0372849462365591,0.023202709082191287,-0.0080645161290322,0.0833333333333333
v5_no_occ_original_mediapipe_seed42,gaze,0.5444086684743651,0.02654014075992252,0.490852993184516,0.59573972602756,0.5060619708243127,0.024945490679107604,0.45627122219875754,0.5550520526152056,0.038346697650052296,0.022869030695250456,-0.005263838358326922,0.08339096693634389,6.958111827682019,4.049720299008179,-1.0241175463360885,14.637989017485333,0.5689598460870924,0.02684912478196659,0.5170278097436662,0.6205558552481012,0.5287210603557035,0.02730510352668992,0.4741997294709703,0.5819035617673934,0.04023878573138873,0.021793083279660164,-0.002829669658556612,0.08240953804248399,7.018287349311523,3.7278179055528877,-0.518895717967613,14.089035525214268,0.5940494623655914,0.024980725367966836,0.5456989247311828,0.6424731182795699,0.5617661290322581,0.025048836080276034,0.5134408602150538,0.6102150537634409,0.03228333333333332,0.0190123741856705,-0.0053763440860215,0.0698924731182796
v5_explicit_region_mask_gate_mediapipe,gaze,0.605554151631136,0.026251570186415225,0.5535923893446789,0.6557408250389781,0.5163396492674603,0.02296730338010518,0.47219037280279386,0.5608457972193819,0.08921450236367556,0.029171965192993723,0.031215768024295657,0.14620536048333022,14.621368334602424,4.4442425884682955,5.390328437311144,22.937657786120162,0.6378512464092432,0.02737147534899685,0.5839593652285118,0.6915856571405934,0.512447971503209,0.028333126108565927,0.45896396060817823,0.5683789108336997,0.1254032749060342,0.026161089073599705,0.07337187093066842,0.17668315460672107,19.6185545705588,3.8174511579359116,11.935105168394399,26.88259910869514,0.671717741935484,0.024439444829906124,0.6236559139784946,0.7178091397849453,0.567405376344086,0.025200603087486957,0.5188172043010753,0.6182795698924731,0.1043123655913978,0.02240803191154442,0.0591397849462366,0.1478494623655915
