model,clean_f1_macro_mean,clean_f1_macro_std,clean_f1_macro_ci_low,clean_f1_macro_ci_high,masked_f1_macro_mean,masked_f1_macro_std,masked_f1_macro_ci95_low,masked_f1_macro_ci95_high,drop_f1_macro_mean,drop_f1_macro_std,drop_f1_macro_ci_low,drop_f1_macro_ci_high,pdi_f1_macro_mean,pdi_f1_macro_std,pdi_f1_macro_ci95_low,pdi_f1_macro_ci95_high,clean_f1_weighted_mean,clean_f1_weighted_std,clean_f1_weighted_ci_low,clean_f1_weighted_ci_high,masked_f1_weighted_mean,masked_f1_weighted_std,masked_f1_weighted_ci_low,masked_f1_weighted_ci_high,drop_f1_weighted_mean,drop_f1_weighted_std,drop_f1_weighted_ci_low,drop_f1_weighted_ci_high,pdi_f1_weighted_mean,pdi_f1_weighted_std,pdi_f1_weighted_ci_low,pdi_f1_weighted_ci_high,clean_acc_mean,clean_acc_std,clean_acc_ci_low,clean_acc_ci_high,masked_acc_mean,masked_acc_std,masked_acc_ci_low,masked_acc_ci_high,drop_acc_mean,drop_acc_std,drop_acc_ci_low,drop_acc_ci_high,rank_masked_f1_macro,rank_pdi_f1_macro,rank_drop_f1_macro,robust_score_macro,rank_robust_score_macro
v5_task_region_gated_late_mediapipe,0.7085437438916435,0.008742204574772747,0.6911853296940993,0.7258144199748875,0.7081585762306684,0.010471261260205748,0.6884269641006311,0.7292481270987448,0.0003851676609751267,0.007996565325441352,-0.015882469946312993,0.014714238603896496,-0.07600285960930386,1.4469392833404886,-3.0629023357512435,2.5000768982484063,0.8065182263577982,0.009545873939506327,0.7879799767283294,0.8256316948549525,0.7983057076505511,0.009749722146513984,0.7793086264496054,0.8171193002987547,0.008212518707247068,0.006548469616455168,-0.0045580500514731115,0.021019014190973302,1.215956456543248,1.078890230507362,-0.9213360291812764,3.2878873310490864,0.8105223518812317,0.009216518401985199,0.7927398304835204,0.8289927992135098,0.8052203589807106,0.009220877183358397,0.786852724852584,0.8231913404369717,0.0053019929005209965,0.006268046771764732,-0.00695798489221835,0.0175525259710177,1.0,1.0,1.0,0.7077734085696933,1.0
v5_task_gated_late_mediapipe,0.7016695618137849,0.00909537903275835,0.6833502176625548,0.7192521133709643,0.6956634886615374,0.009119168981574999,0.6773164725731047,0.713492130042789,0.006006073152247602,0.008206019966716513,-0.009825570832224618,0.022389026527693562,0.6614440095156155,1.5376313747642718,-2.395160851333811,3.646306473672702,0.807014449105852,0.009515697167142588,0.7882642205249266,0.8259963515221513,0.8024129050073415,0.009599698846670284,0.7834333354861094,0.821079112274085,0.004601544098510376,0.007999090332154193,-0.010523314991961128,0.020438250572472463,0.4850549637602608,1.3551952547972814,-2.1660396404224995,3.0904810584749534,0.812112566319344,0.009204305090067475,0.7943707780005637,0.8303881924895365,0.8082677697665432,0.009148832997110118,0.7904023715610576,0.8259817688646578,0.00384479655280076,0.007640415306280653,-0.010875388124342824,0.018761684715130726,4.0,2.0,2.0,0.6896574155092898,2.0
v5_occ_attention_bias_mediapipe,0.7062419125742416,0.009298107774363181,0.6884798026000638,0.7246479712345653,0.6956241099038053,0.010407014529192706,0.6753083742448451,0.7160282906165724,0.01061780267043629,0.009301140285958343,-0.00688885107984177,0.029485862241459264,1.5337756068788562,1.6428527017120447,-1.6531047924627966,4.795211503708334,0.804135864651369,0.00959036725229687,0.7854490322489862,0.8226303903768359,0.7826619514654357,0.010064195239574528,0.7628513510656378,0.801893837949788,0.021473913185933245,0.007980066652915653,0.005878415314233561,0.03733951486010056,3.250098920902564,1.2358832610471293,0.7914358020236943,5.647143143901499,0.8067580536682327,0.009342562951369971,0.7886005483972336,0.8250148267634194,0.7902674872810002,0.009508402629627117,0.7718081518959647,0.8085991475482757,0.016490566387232435,0.007333433132166627,0.002101089220159275,0.031024206810642233,5.0,3.0,3.0,0.685006307233369,3.0
v5_no_occ_original_mediapipe_seed42,0.7183747721367841,0.011186501743542094,0.6963768891758699,0.7404234733131853,0.6982172550073371,0.010743617992550398,0.6774125830286093,0.7195958649324709,0.02015751712944694,0.008124422684327054,0.005009901419578069,0.036496353774362195,3.0021855333500556,1.3226317846569287,0.46203707714032094,5.574072598333173,0.8060986570345197,0.00952919209527333,0.787670236809012,0.8245410411744456,0.7891173151937525,0.009749888644154471,0.7697682762271022,0.8081818532172803,0.01698134184076709,0.006776408347907716,0.003632115671263795,0.030177526608427624,2.5150866314684004,1.0831641938237222,0.3369803184018508,4.584206074009338,0.806881855077788,0.009283484747246724,0.7889113689396196,0.8249518892407729,0.7919912766902965,0.009401170415682765,0.773863206705057,0.8102833114611229,0.01489057838749147,0.006195965269138255,0.002705826364152425,0.027178099047099075,3.0,4.0,4.0,0.6780597378778902,4.0
v5_explicit_region_mask_gate_mediapipe,0.7347433471586576,0.011499810858179117,0.7123250608070533,0.7573610441265595,0.705029241810703,0.010114227071116727,0.6857134193610787,0.7250181659009525,0.02971410534795451,0.010316899124487916,0.00960754095013468,0.050183402769557205,4.647227634831665,1.505669580322811,1.605613125720162,7.537481474514949,0.8195794662778484,0.009687566253122703,0.8005316851752957,0.8386141393053779,0.7830778835694516,0.010001634791336336,0.7639836392267885,0.8027388794144306,0.03650158270839677,0.007919058473157232,0.020826321412918857,0.05205404771298684,5.5178322678928025,1.1125228225321728,3.290937526242974,7.647306798092922,0.8223255764733772,0.009192719376042232,0.8042910122878378,0.8399250930981718,0.7912955851993128,0.009437441623395285,0.7729952261546686,0.8100820053615637,0.031029991274064427,0.007092287658749131,0.016857311103496926,0.044853450470820844,2.0,7.0,7.0,0.6753151364627485,5.0
v5_occ_token_region_transformer_mediapipe,0.7129249418039776,0.010710174033846491,0.6923269961412151,0.7339363030805643,0.6888922692385882,0.00984765352456473,0.6696930000813446,0.7082534461905726,0.02403267256538939,0.0071557561909279975,0.010312553655989804,0.038139472553179087,4.27487504122378,1.1632225792734663,1.970856677009043,6.483606959755835,0.8057458932234515,0.009442714464229951,0.7875138000125202,0.824332851025181,0.7817690801012754,0.009797767799445509,0.7626868511433967,0.8006197364353064,0.02397681312217601,0.007134869087551864,0.010261666769812725,0.037883627906447476,3.9310790753884737,1.1242728780669864,1.7646646850913106,6.0902824077447,0.8056320350606965,0.009255837579033527,0.7876130228850632,0.8236107197590175,0.7870753170359835,0.009454805706642245,0.7689997831855018,0.8059639376058748,0.018556718024712964,0.006795844710028168,0.005515793860121475,0.03158221525740392,7.0,5.0,6.0,0.6648595966731987,6.0
v5_task_region_scalar_gated_late_mediapipe,0.7108297903661107,0.008831306210833693,0.693637821214362,0.7279930741207118,0.6875899067532265,0.008818855032932785,0.6702382234735805,0.7045451411111888,0.02323988361288427,0.006747404830984021,0.010105075628895418,0.0366069145646242,4.375799204046475,1.1654158042861122,2.0755208395777784,6.6399444742545155,0.8116624868205454,0.009619048245410097,0.7926195938306358,0.8304191187568221,0.7861996560493694,0.009718144678293801,0.7673480406464439,0.8049709572238469,0.02546283077117605,0.007147219058702678,0.01155427779019506,0.039629565242984124,4.2904176832656375,1.130402155535059,2.0459025195078318,6.509849377203034,0.8187129426587506,0.00911090561336844,0.8010764851178178,0.8362148854978775,0.7924575403245169,0.009258864899571933,0.7747474188726302,0.8107923841291701,0.02625540233423363,0.006939385834136915,0.012871416922224974,0.040198710401592494,8.0,6.0,5.0,0.6643500231403422,7.0
v5_explicit_region_scalar_mask_gate_medipipe,0.7251914369165295,0.010865703082334784,0.7045602126053576,0.7471810727163568,0.6944441402708748,0.009328868392953701,0.6760316547109868,0.712357070309136,0.030747296645654742,0.008850393674774384,0.014512125744827352,0.04906436754014955,5.355391513937537,1.3970364174754415,2.7211736099716632,8.12908718544492,0.8122211510609946,0.009428261019792397,0.7938029519827503,0.8305802838200259,0.7806033627679498,0.009471842233704963,0.7622443546132807,0.7993198261012058,0.03161778829304476,0.006428402098742954,0.0192298193320315,0.044395898003787106,5.380911495676408,1.0060647936965745,3.403219938314764,7.3794831886447785,0.8220369469821104,0.00901247055972716,0.8044588784909533,0.839499435293451,0.7908850274017045,0.009155969765608037,0.7732189073178941,0.8085933579793179,0.03115191958040592,0.00635417105071537,0.018732742529064875,0.04341225447764285,6.0,8.0,8.0,0.66369684362522,8.0
