variant,head,clean_f1,masked_f1,clean_drop_vs_full_percent_clamped,masked_drop_vs_full_percent_clamped
full,action,0.8531479682152809,0.8460484754255053,0.0,0.0
full,gaze,0.6355214763902555,0.5830756612216637,0.0,0.0
full,hands,0.7041309106028504,0.698676911809235,0.0,0.0
full,talk,0.7515199454658872,0.7476013621849389,0.0,0.0
no_body,action,0.3787268990003109,0.2532473912178441,55.60829854725223,70.06703533264123
no_body,gaze,0.5668152756000193,0.4289562825309898,10.810995905360349,26.432140619240055
no_body,hands,0.3854693253599779,0.33642473282548435,45.25601425025446,51.848311123619766
no_body,talk,0.558803502195913,0.5296193690366663,25.64355669236485,29.157516849781906
no_face,action,0.8860522904862557,0.8797994443968725,0.0,0.0
no_face,gaze,0.4539966410650033,0.3813306985466651,28.56313154927639,34.60013444092338
no_face,hands,0.710648329080261,0.7141734690818173,0.0,0.0
no_face,talk,0.7428456926303338,0.7467266798623111,1.1542278934694066,0.11699849236114655
no_occ,action,0.8576062261572158,0.8362284087391462,0.0,1.1606978762558873
no_occ,gaze,0.5431395399991592,0.437805028439689,14.53639881941097,24.914542390193883
no_occ,hands,0.7172047455703265,0.6966610796498401,0.0,0.28852136449947896
no_occ,talk,0.750947940965011,0.7519866428928839,0.07611301660417441,0.0
no_hgnet,action,0.8606608778952399,0.8283691928676123,0.0,2.0896299764622217
no_hgnet,gaze,0.5666523303858929,0.5355088670107201,10.836635513175326,8.157911121050967
no_hgnet,hands,0.7083387813508606,0.7035561414529957,0.0,0.0
no_hgnet,talk,0.7527631979655756,0.7469878536857781,0.0,0.0820635876542164
no_gate,action,0.8584631090441721,0.8282283898647219,0.0,2.1062724038148173
no_gate,gaze,0.5351403657688691,0.44705213000159066,15.795077641049721,23.328624442165133
no_gate,hands,0.6980298022196811,0.6952424587376689,0.8664735905352743,0.49156527337829437
no_gate,talk,0.7463563686410071,0.7250998577706256,0.6870844687533972,3.0098265670022912
