epoch,lr,train_loss,val_loss,val_weighted_score,train_action_w_f1,val_action_w_f1,val_action_c_f1,val_action_c_acc,train_gaze_w_f1,val_gaze_w_f1,val_gaze_c_f1,val_gaze_c_acc,train_hands_w_f1,val_hands_w_f1,val_hands_c_f1,val_hands_c_acc,train_talk_w_f1,val_talk_w_f1,val_talk_c_f1,val_talk_c_acc,val_gaze_bin_w_f1,val_gaze_bin_c_f1,val_gaze_bin_c_acc
1,0.00075,1.171657236612655,0.44852534796298554,0.8198765960155217,0.7713925514150738,0.8946416466376808,0.8946586732332389,0.9241214057507987,0.674474065726572,0.49824061123794716,0.49859427789086513,0.5864332603938731,0.718810529655255,0.8152059483574798,0.8143634998162195,0.8902345546527671,0.7118030232425079,0.7484530918130639,0.7478006617400557,0.7792332268370608,0.6266199893015787,0.6223316231763032,0.6445686900958466
2,0.00075,0.6984297851424457,0.4166715664463817,0.8441118363470386,0.8726657573373788,0.911974538129612,0.9145398540894146,0.9356230031948882,0.798839953806895,0.5250962486640145,0.5255381778591854,0.6258205689277899,0.8167505455684969,0.8727574848961341,0.872152151068963,0.9526291583627166,0.7430076126893261,0.7574394289155666,0.7577599339734855,0.7873801916932908,0.6154528819929247,0.6109904153354633,0.6353035143769968
3,0.00075,0.5467016933587676,0.45581725540159707,0.8515957297501047,0.9001077508335592,0.9144725624664249,0.9157284745899997,0.9319488817891374,0.8637313224366626,0.6044675711836395,0.601751337757857,0.6739606126914661,0.8592559264234625,0.8236698876118497,0.8233004001610689,0.8991261689406714,0.7488940351104449,0.7584232186592411,0.7598611371463896,0.7830670926517572,0.6311522389651243,0.6259627410569902,0.6519169329073482
4,0.00075,0.45045634079759017,0.41580331045834995,0.8815070451009954,0.9196319513872432,0.932041127437833,0.9335278645006173,0.9428115015974441,0.897171244223489,0.6681600955755074,0.6691398522827527,0.6914660831509847,0.8832566503627177,0.9003920149211929,0.8985502992715269,0.9576881802851449,0.7538051054445509,0.7558257850561789,0.7562306436199546,0.787220447284345,0.6730039440277833,0.6681546466646753,0.7060702875399361
5,0.00075,0.39307626323685835,0.41414500115244307,0.8744683850895265,0.9332950652128308,0.9336398836753766,0.9349066052989268,0.9468051118210863,0.9098693534261248,0.6449355500620666,0.639014426882975,0.6783369803063457,0.8975880454333461,0.8635173301470543,0.8635212193108825,0.9497163881649547,0.7587878679285631,0.756431373852479,0.7565895083348675,0.7806709265175719,0.6292481698873169,0.6233157509637541,0.6479233226837061
6,0.00075,0.3576402449470128,0.41463496143584705,0.8757705380303229,0.9418588211897657,0.9372079382523154,0.9390997102446673,0.9527156549520767,0.9286030812200141,0.6190666526206382,0.6160159506598762,0.6564551422319475,0.9114258218829248,0.8792580875857934,0.8793197431805461,0.954315499003526,0.7613166250267431,0.7609741260141993,0.7613274788403939,0.7915335463258786,0.7033081665058774,0.698405210101751,0.74185303514377
7,0.00075,0.32142213122509294,0.44814058019513997,0.8687242011929304,0.9485044132776352,0.9352581657379367,0.9351795431123316,0.9458466453674121,0.9388073335729303,0.6153587548905884,0.6117005636020313,0.6761487964989059,0.9288072028839733,0.8425232415989401,0.8415087062615267,0.9494097807757167,0.7650801511922793,0.7644066561061345,0.763851316956819,0.7878594249201278,0.6368496899138925,0.6327218393306793,0.6602236421725239
8,0.000375,0.2809833833663147,0.5416886361201302,0.849891667292698,0.9565919815488808,0.9159000102979274,0.9177074509719669,0.9458466453674121,0.9499464237715112,0.6234759370641522,0.6221377230601265,0.6564551422319475,0.9331256624905494,0.7646556841894849,0.7632860401857781,0.9406714701824314,0.7672828105776632,0.7568074323264276,0.7569437826944911,0.781629392971246,0.6177857006574852,0.6145606189051065,0.6415335463258786
9,0.000375,0.2036989553761821,0.5691698054815545,0.8533848912296083,0.973191662066857,0.9245492395191661,0.9247393349008077,0.9424920127795527,0.972040985305684,0.5518023516817838,0.5493748924965121,0.6323851203501094,0.9568073763185013,0.8559114795500954,0.8561777249935797,0.9540088916142879,0.7731406749047971,0.7602864829685154,0.7608670085041613,0.7849840255591054,0.6269547707811177,0.6206068405763732,0.6468051118210862
