epoch,lr,train_loss,val_loss,val_weighted_score,train_action_w_f1,val_action_w_f1,val_action_c_f1,val_action_c_acc,train_gaze_w_f1,val_gaze_w_f1,val_gaze_c_f1,val_gaze_c_acc,train_hands_w_f1,val_hands_w_f1,val_hands_c_f1,val_hands_c_acc,train_talk_w_f1,val_talk_w_f1,val_talk_c_f1,val_talk_c_acc,val_gaze_bin_w_f1,val_gaze_bin_c_f1,val_gaze_bin_c_acc
1,0.00075,1.1558105898927877,0.45851968386058695,0.8280312882325662,0.7723776412346147,0.8836829831424644,0.8828860004478365,0.9139337705967046,0.662679536165276,0.5693091579039951,0.5662286322757438,0.6323851203501094,0.7460424464989449,0.8700229477681813,0.8684944358991467,0.92109303039607,0.730936334471373,0.7645049759505577,0.7645469897560898,0.7881938889777635,0.693768267051637,0.6895202527781965,0.7267637178051511
2,0.00075,0.6925215019170804,0.4534440932472279,0.8395679320945285,0.8713960046933441,0.9045533808615026,0.9058321676028107,0.9273716205407135,0.8111824044111594,0.525595548172489,0.5236627575236674,0.6083150984682714,0.8452363694229077,0.8884652710014477,0.8895315865286464,0.9431992631255757,0.7562303846388359,0.7594773621508324,0.7596568498229256,0.7819548872180451,0.6852380179543052,0.6798072889898645,0.7093265077587586
3,0.00075,0.5487095218133716,0.4560026851952602,0.8671715858372441,0.899802804279834,0.9243060110747204,0.9246396076560927,0.9379299312110062,0.8605024320829638,0.645735949874826,0.6447226902743806,0.6739606126914661,0.8710585950369809,0.8523920391389781,0.8519935254066779,0.920939514891004,0.759163178089256,0.7599922149083262,0.7603220879230885,0.7813149896016637,0.7121387503938224,0.7096717473484797,0.7565189569668853
4,0.00075,0.4848448575411391,0.49562211532539957,0.8417095106905015,0.9155312255274464,0.9077767033795466,0.9096157473206244,0.9243321068629019,0.8755456717341022,0.5312905092919507,0.5310290875277407,0.6017505470459519,0.8988585428657606,0.8742319156258223,0.8725025156999412,0.9418176235799816,0.765578809363535,0.7611776643277709,0.761477457338184,0.7829147336426172,0.7141014283810896,0.7098110954837147,0.7542793153095505
5,0.00075,0.42597002941763185,0.44866492326362034,0.8782153398958239,0.9303768588976541,0.9322142878064248,0.9314464243059142,0.9396896496560551,0.8981027338697835,0.6482592287218595,0.6476146511840191,0.6805251641137856,0.9062135426475927,0.906319357560242,0.9061910658397112,0.9577832361068468,0.767915351657116,0.7684579965359317,0.768830772402201,0.7910734282514797,0.6797400747425522,0.6751413454059692,0.7139657654775236
6,0.00075,0.3681027905373507,0.4790200301896418,0.8801219034695438,0.9378552908560752,0.9336167182907628,0.9333829781245871,0.9476883698608223,0.9204737955799788,0.7035877743593697,0.6991122223620951,0.700218818380744,0.9165607498689626,0.8313749322850494,0.8310609138116707,0.9439668406509057,0.7693606449587167,0.7751684211441838,0.7756178809370299,0.799072148456247,0.7058305170986996,0.7020435544397625,0.7402015677491601
7,0.00075,0.34078548572679795,0.5440432049703177,0.8533616523410776,0.94597841868556,0.9212394023653183,0.919778569372257,0.939209726443769,0.9265614693889249,0.6084044706474238,0.6047426303291795,0.6214442013129103,0.9299606264312633,0.8157056530246594,0.8164486337487014,0.9407430150445195,0.7702553935460036,0.7428480074938545,0.7432079171250148,0.7681970884658454,0.7005062542602887,0.6964377950899219,0.7307630779075348
8,0.00075,0.31290152437190116,0.5226449466870406,0.8681011619191168,0.953610012829068,0.9249093968958628,0.9244198351642431,0.9456087026075828,0.9354304897865457,0.6523542146733879,0.6557032820403844,0.6608315098468271,0.9359167268175292,0.846365632498423,0.8465136804337203,0.9462695732268959,0.7723775085663672,0.7601611384524936,0.76000833909434,0.7835546312589986,0.6534469496334432,0.6467471842103857,0.6734922412414014
9,0.00075,0.30539460974745963,0.509644300071195,0.852863731269509,0.9541070734786874,0.9313088141544021,0.930586928832114,0.9456087026075828,0.9304373698622975,0.5229020520926606,0.5303902468485802,0.5689277899343544,0.9425956823225267,0.8341288293021616,0.8346855364300036,0.9379797359533313,0.7739013520596767,0.7681146705424102,0.7685158083348375,0.7915533514637658,0.6685219805644449,0.664413366092215,0.7022876339785634
10,0.000375,0.2763090249385462,0.4795205014281208,0.8742114095016783,0.9590200368713439,0.9195166544170328,0.9181726629078996,0.9384098544232923,0.9396250062868741,0.6954655189822314,0.6986982624776922,0.7067833698030634,0.9444315704391844,0.8856908247632767,0.8847981226065471,0.9507215228738103,0.7750889256342934,0.7635040531153479,0.7641198766768038,0.7881938889777635,0.6534467984922644,0.648221414508086,0.6755719084946409
11,0.000375,0.1827748545074656,0.55402339710088,0.8766025380477597,0.974561056758169,0.9335817820032439,0.9336710137098475,0.9446488561830108,0.9713074116324987,0.6840769249605966,0.6823013323450979,0.7133479212253829,0.966406031519125,0.826174898843865,0.8242172749356381,0.9421246545901136,0.7778034474989566,0.7648081153259614,0.76531802211076,0.7886738121900496,0.6520400830405622,0.6464162974922919,0.6755719084946409
