epoch,lr,train_loss,val_loss,val_weighted_score,train_action_w_f1,val_action_w_f1,val_action_c_f1,val_action_c_acc,train_gaze_w_f1,val_gaze_w_f1,val_gaze_c_f1,val_gaze_c_acc,train_hands_w_f1,val_hands_w_f1,val_hands_c_f1,val_hands_c_acc,train_talk_w_f1,val_talk_w_f1,val_talk_c_f1,val_talk_c_acc,val_gaze_bin_w_f1,val_gaze_bin_c_f1,val_gaze_bin_c_acc
1,0.00075,0.7074138047043924,0.19518785274010042,0.751501384997706,0.7232818383865278,0.8783265876257977,0.8776562295380749,0.9126539753639418,0.6812802918250032,0.6164458114924013,0.6153065791267238,0.6455142231947484,0.6492210172461357,0.8378704013430571,0.8391625570697746,0.9114215535769112,0.7084325147923491,0.7545690108051464,0.7541998649011581,0.7797152455607103,0.5830067986201815,0.5792266779788583,0.5947848344264918
2,0.00075,0.39940018151889367,0.19580871545702838,0.7204517529147662,0.8519008370330785,0.8981627488589804,0.8978107868162252,0.9163333866581347,0.8182278814144962,0.5169057362630417,0.5183778429544684,0.5754923413566739,0.7779641980005139,0.9089638106550105,0.9092089792079135,0.9461160577218299,0.7460456802223092,0.7540542854225961,0.7541284111511664,0.7806750919852824,0.6663380752289203,0.6627400745523944,0.6984482482802752
3,0.00075,0.2846030275665471,0.1895255199603568,0.7767251647057853,0.8884478489499418,0.9097629303697495,0.9108479317517392,0.930891057430811,0.8741999852588077,0.6243014707868287,0.6255474090765102,0.6783369803063457,0.8112654216381654,0.9484875240604278,0.9475973139323578,0.9646914338348174,0.7562224213577948,0.7584723595345926,0.7593479127291046,0.7889937609982403,0.599096029711685,0.5950603379833826,0.6178211486162214
4,0.00075,0.24656094094065084,0.1764576356200611,0.7535726237290515,0.9090994220919381,0.9289792495909222,0.9290304509495002,0.9369700847864342,0.8940483935440542,0.5680322087769932,0.5659978797990936,0.6148796498905909,0.8410245577187598,0.8555491695904464,0.8552802943300659,0.9252379490328523,0.7603867378187996,0.7602248940837617,0.7609172035136202,0.7937929931211006,0.683520548067164,0.6787870734219709,0.7182850743880979
5,0.00075,0.1940037427174214,0.1997606225569365,0.7552173986696117,0.9236493156523526,0.9112759690760224,0.910340945780938,0.9281714925611902,0.9227912215893525,0.5895906403690887,0.5866747156137373,0.6586433260393874,0.8546969098448396,0.8706231927078841,0.8711897250019299,0.9292293521645686,0.7668304558137997,0.7599652223650164,0.7600172958382243,0.7833946568549032,0.6343647067404741,0.6280455786097379,0.6565349544072948
6,0.00075,0.16789807395755743,0.206226943834976,0.7893527407344144,0.9332422751886813,0.9261423945640654,0.9266882898672947,0.9430491121420572,0.9344628366108721,0.6402610297260671,0.6402305429974059,0.687089715536105,0.8669076550625794,0.9289171769197624,0.9278405626879712,0.959932453177771,0.7701552752008027,0.7565320692752453,0.756944756218012,0.7827547592385219,0.5335122959809997,0.5284755223655427,0.5371940489521676
7,0.00075,0.16417754990690386,0.1960177042561544,0.7708779876289064,0.942278736275727,0.9275747089760059,0.9273957263315764,0.9449688049912014,0.9434448898636217,0.6012972573728299,0.6027140919399993,0.6477024070021882,0.8702100241830478,0.8809585831220417,0.879993880074901,0.9456555112066318,0.7739196953953149,0.7660464928726398,0.766577508059043,0.7910734282514797,0.5702517361519115,0.5641378625474227,0.5799072148456247
8,0.00075,0.1473325856850215,0.20950100831090823,0.7652293269496883,0.9479048349769851,0.890442942782443,0.8889276598997874,0.92577187649976,0.9501111834752702,0.6229573880561038,0.6256141943158734,0.6630196936542669,0.8788592235548793,0.91159692842082,0.9113116556495678,0.9567086275713848,0.7783641249650004,0.7614726125603521,0.7623981954032516,0.7945928651415773,0.6186397722525119,0.6141628764361293,0.6373380259158534
9,0.00075,0.12351309866153067,0.2216807244477417,0.7216302604634826,0.9545695824314602,0.9160778811796667,0.91737008495876,0.9385698288273876,0.9496326536622087,0.49412078507653967,0.5013623903571269,0.5711159737417943,0.8984718057650376,0.8939144773510428,0.8935267724476884,0.9507215228738103,0.7812876480130038,0.7694670856881209,0.7704861589789809,0.7965125579907215,0.6297410434287614,0.6257025716746647,0.659414493681011
10,0.000375,0.12225965617384942,0.1995145383218041,0.7656277463794885,0.9564210974205174,0.9402897733934711,0.939070782900881,0.9502479603263477,0.9524651611386115,0.5712126651545493,0.5727085764401815,0.6389496717724289,0.900385781689105,0.9390012319761416,0.9399819757329559,0.9653054958550814,0.78327548755127,0.7657214117600942,0.7665587177872529,0.7886738121900496,0.6485081747699843,0.6440906114819158,0.6829307310830267
