model,clean_f1_macro,masked_f1_macro,masked_acc,auroc_ovr_macro,auprc_macro,relative_drop_f1_macro,pdi_f1_percent,n_common_pairs
hgnet_explicit_region_scalar_mask_gate,0.6355214763902555,0.5830756612216637,0.6256684491978609,0.9054512800008614,0.6428374570154798,0.09318198879159091,9.318198879159091,372
task_region_scalar_gated_late,0.5768945539145272,0.5549557799349665,0.5855614973262032,0.886212789836297,0.583321606736156,0.0017687224566990153,0.17687224566990153,372
hgnet_task_region_scalar_gated_late,0.6338918379766503,0.5539549385244137,0.6042780748663101,0.8965976674065512,0.6109592361600249,0.1672070743360103,16.720707433601028,372
task_gated_late,0.6234077900385014,0.5367181660044092,0.56951871657754,0.9106662765271388,0.6156892133383993,0.13815197944412935,13.815197944412935,372
DriveAct,0.6051503411765375,0.5262407810617873,0.5508021390374331,0.8972723498105769,0.5731049027499173,0.015137341625832097,1.5137341625832097,372
explicit_region_scalar_mask_gate,0.5591113510468354,0.5163714054722146,0.5240641711229946,0.897223925511832,0.6314961428101064,-0.0161266089911398,-1.61266089911398,372
attention_bias,0.5776694710881828,0.5099224875570906,0.5614973262032086,0.8718423193977183,0.5689930854620938,0.016320759899174177,1.6320759899174178,372
NoOcc,0.5657873054283554,0.4868227850902398,0.5855614973262032,0.8820613216512282,0.6213734497818233,0.03191098809233908,3.191098809233908,372
pose_guided,0.5242103866949485,0.48282156839026474,0.5294117647058824,0.895493353750457,0.5992297550991589,0.02892420624239349,2.892420624239349,372
spatiotemporal,0.5788381552160646,0.4685246108461739,0.5080213903743316,0.8675557155272966,0.5669093645172949,0.14283071632390681,14.283071632390682,372
dfs,0.5705879452123874,0.46167553842301234,0.5026737967914439,0.8536444138646573,0.5347145922033297,0.09375797705328245,9.375797705328246,372
explicit_region_mask_gate,0.5828339155750588,0.45411482047223806,0.5481283422459893,0.880527688965214,0.6040105953374356,0.14212982942333463,14.212982942333463,372
hgnet_task_gated_late,0.563505636228573,0.45252429716507375,0.5508021390374331,0.8785718304925576,0.5585964126339708,0.07288793415220154,7.288793415220154,372
skateformer,0.5928072740583427,0.43846645074411866,0.516042780748663,0.8806519516463704,0.6052537867693899,0.204299985872622,20.429998587262197,372
occ_token_region_transformer,0.5117294220589598,0.4166439087262623,0.516042780748663,0.8672487194055242,0.5753389801452401,0.0782969672179012,7.82969672179012,372
task_region_gated_late,0.5567877822249807,0.40859469022717937,0.5213903743315508,0.8736581038359286,0.5926318125935333,0.16396886417242656,16.396886417242655,372
dmd_original,0.5205436536525967,0.3984857716714212,0.4625668449197861,0.8597343696043316,0.5211921335139008,0.13975813142858473,13.975813142858474,372
