head,pdi_rank,model,clean_f1_macro,masked_f1_macro,drop_f1_macro,relative_drop_f1_macro,pdi_f1_percent,n_common_pairs
gaze,1,explicit_region_scalar_mask_gate,0.509280914585808,0.5174938887619834,-0.008212974176175392,-0.0161266089911398,-1.61266089911398,372
gaze,2,task_region_scalar_gated_late,0.5573838746228161,0.5563980172467689,0.0009858573760472833,0.0017687224566990153,0.17687224566990153,372
gaze,3,attention_bias,0.5192138522562753,0.5107398876372753,0.008473964618999963,0.016320759899174177,1.6320759899174178,372
gaze,4,NoOcc,0.504848149816127,0.4887379465189052,0.016110203297221848,0.03191098809233908,3.191098809233908,372
gaze,5,hgnet_task_gated_late,0.49025802330576773,0.45452412878546844,0.03573389452029929,0.07288793415220154,7.288793415220154,372
gaze,6,occ_token_region_transformer,0.45442936288815794,0.4188489219592521,0.03558044092890583,0.0782969672179012,7.82969672179012,372
gaze,7,hgnet_explicit_region_scalar_mask_gate,0.6452517074359467,0.5851258700658954,0.06012583737005128,0.09318198879159091,9.318198879159091,372
gaze,8,task_gated_late,0.6246268089885364,0.5383333789129,0.08629343007563639,0.13815197944412935,13.815197944412935,372
gaze,9,explicit_region_mask_gate,0.5313397891022382,0.4558205555113065,0.07551923359093171,0.14212982942333463,14.212982942333463,372
gaze,10,task_region_gated_late,0.49000940441334845,0.4096631189378845,0.08034628547546396,0.16396886417242656,16.396886417242655,372
gaze,11,hgnet_task_region_scalar_gated_late,0.6667486949473301,0.5552635963478341,0.11148509859949607,0.1672070743360103,16.720707433601028,372
