model,condition,head,n,auroc_ovr_macro,auprc_macro
skateformer,test_masked,hands,6059,0.9492079095458492,0.7360546799440965
hgnet_task_gated_late,test_masked,hands,6059,0.9354849864048493,0.7376143335510357
spatiotemporal,test_masked,hands,6059,0.9304175819709795,0.7362850262256381
pose_guided,test_masked,hands,6059,0.9228112485697197,0.7376849632359649
dfs,test_masked,hands,6138,0.9209049383822181,0.7203623864073997
attention_bias,test_masked,hands,6059,0.9193390550760002,0.7326624997479253
hgnet_task_region_scalar_gated_late,test_masked,hands,6059,0.9192291319695445,0.7502266511238324
NoOcc,test_masked,hands,6059,0.9152565298030317,0.7487830225932622
hgnet_explicit_region_scalar_mask_gate,test_masked,hands,6059,0.9147002937617394,0.7483531342009563
task_gated_late,test_masked,hands,6059,0.9062215686755496,0.7362037334343388
DriveAct,test_masked,hands,6138,0.9060161139718353,0.7182388588992618
task_region_scalar_gated_late,test_masked,hands,6059,0.8838858703178745,0.7327536109244772
hgnet_task_gated_late,test_clean,talk,9424,0.8354526126420803,0.5894637909340703
spatiotemporal,test_clean,talk,9424,0.8346623181376849,0.5693933930323174
dmd_original,test_clean,talk,9417,0.8297158077975888,0.5677280599813292
skateformer,test_clean,talk,9424,0.828866962176774,0.5531095555756989
pose_guided,test_clean,talk,9424,0.8282733160670462,0.5661940213555503
hgnet_explicit_region_scalar_mask_gate,test_clean,talk,9424,0.8268235812178136,0.5653933400130434
attention_bias,test_clean,talk,9424,0.826794531888116,0.5353256410770928
task_gated_late,test_clean,talk,9424,0.8260662132033992,0.55572905083817
hgnet_task_region_scalar_gated_late,test_clean,talk,9424,0.8257277841065566,0.565445762000368
dfs,test_clean,talk,9417,0.8249206823784507,0.5591158287717607
NoOcc,test_clean,talk,9424,0.8201200885778388,0.527526592188556
task_region_scalar_gated_late,test_clean,talk,9424,0.8195297028074401,0.5564742187114184
DriveAct,test_clean,talk,9417,0.8189961261073061,0.5429550764166393
hgnet_task_gated_late,test_masked,talk,5949,0.8364415865601823,0.5742437634753655
dmd_original,test_masked,talk,5950,0.8332571275480093,0.5857800268342573
spatiotemporal,test_masked,talk,5949,0.8323548815721491,0.580676004914608
task_gated_late,test_masked,talk,5949,0.8316735709999467,0.5760584307588013
dfs,test_masked,talk,5950,0.8304575562614263,0.5746391566207156
DriveAct,test_masked,talk,5950,0.8244633980801335,0.5664590946231569
hgnet_explicit_region_scalar_mask_gate,test_masked,talk,5949,0.8235076185147342,0.5679813238103667
attention_bias,test_masked,talk,5949,0.8233142305722951,0.5410440916935059
pose_guided,test_masked,talk,5949,0.8206196146779638,0.5487052258313687
hgnet_task_region_scalar_gated_late,test_masked,talk,5949,0.8204315845444877,0.5651115086491032
skateformer,test_masked,talk,5949,0.8199391005368234,0.5632394664781144
NoOcc,test_masked,talk,5949,0.8194466889319831,0.5319021179440115
task_region_scalar_gated_late,test_masked,talk,5949,0.8139656503627092,0.5468004619456792
