model,condition,head,n,accuracy,f1_macro,f1_weighted,n_prob_cols
hgnet_explicit_region_scalar_mask_gate,test_clean,talk,9424,0.7824702886247877,0.7515199454658872,0.7938789238360964,2
skateformer,test_clean,talk,9424,0.7830008488964346,0.7510313160662279,0.7941243908198853,2
hgnet_task_gated_late,test_clean,talk,9424,0.783955857385399,0.7509663597522112,0.7947471741038936,2
attention_bias,test_clean,talk,9424,0.7835314091680815,0.7486198317437444,0.7938696894987508,2
hgnet_task_region_scalar_gated_late,test_clean,talk,9424,0.7798174872665535,0.7481657800865287,0.791290165325521,2
NoOcc,test_clean,talk,9424,0.778544142614601,0.7470568212667832,0.7901636744322769,2
pose_guided,test_clean,talk,9424,0.7753607809847198,0.7466799675734845,0.7878515420446114,2
task_region_scalar_gated_late,test_clean,talk,9424,0.7771646859083192,0.7446687684169573,0.7886668101839649,2
dmd_original,test_clean,talk,9417,0.7711585430604226,0.7443398522468407,0.7841282377981384,2
task_gated_late,test_clean,talk,9424,0.7833191850594228,0.736397746948079,0.7901166569789736,2
DriveAct,test_clean,talk,9417,0.7624508866942763,0.7359365484445608,0.7761434454217601,2
dfs,test_clean,talk,9417,0.7540618031220134,0.7273208873333639,0.7683526418073005,2
hgnet_task_gated_late,test_masked,talk,5949,0.7868549336022861,0.7553437983501499,0.7964780062881844,2
spatiotemporal,test_masked,talk,5949,0.7749201546478399,0.7503004042766197,0.7870323337651588,2
pose_guided,test_masked,talk,5949,0.776264918473693,0.7490838831534352,0.7877731300571935,2
hgnet_explicit_region_scalar_mask_gate,test_masked,talk,5949,0.7777777777777778,0.7476013621849389,0.7884869578374629,2
attention_bias,test_masked,talk,5949,0.7784501596907043,0.7463261728526711,0.7886169387088822,2
NoOcc,test_masked,talk,5949,0.7740796772566818,0.7445383856232423,0.7852361512101904,2
hgnet_task_region_scalar_gated_late,test_masked,talk,5949,0.7742477727349134,0.7430813305169366,0.7850026019751902,2
dfs,test_masked,talk,5950,0.7663865546218488,0.7426217188742662,0.7790050514789723,2
task_region_scalar_gated_late,test_masked,talk,5949,0.7737434863002185,0.7414312816924004,0.7842530193253007,2
task_gated_late,test_masked,talk,5949,0.7846696923852748,0.7406886208809477,0.7907193336493394,2
skateformer,test_masked,talk,5949,0.7737434863002185,0.7395692450437408,0.783765815986573,2
DriveAct,test_masked,talk,5950,0.7583193277310925,0.7354329004329004,0.7716326894394121,2
dmd_original,test_masked,talk,5950,0.7477310924369748,0.726576856871475,0.7619574756299665,2
