proposed,baseline,head,n_boot,n_common_pairs,proposed_observed_clean_f1_macro,proposed_observed_masked_f1_macro,baseline_observed_clean_f1_macro,baseline_observed_masked_f1_macro,proposed_observed_relative_drop,baseline_observed_relative_drop,observed_delta_relative_drop_baseline_minus_proposed,mean_delta_relative_drop_baseline_minus_proposed,std_delta_relative_drop_baseline_minus_proposed,ci95_low_delta_relative_drop_baseline_minus_proposed,ci95_high_delta_relative_drop_baseline_minus_proposed,win_rate_lower_drop,p_like_delta_le0
task_region_scalar_gated_late,NoOcc,gaze,5000,372,0.5573838746228161,0.5563980172467689,0.504848149816127,0.4887379465189052,0.0017687224566990153,0.03191098809233908,0.030142265635640066,0.02906830219588822,0.043757728731893965,-0.05668168329590532,0.11536374305535098,0.745,0.255
task_region_scalar_gated_late,task_gated_late,gaze,5000,372,0.5573838746228161,0.5563980172467689,0.6246268089885364,0.5383333789129,0.0017687224566990153,0.13815197944412935,0.13638325698743034,0.13649089219615476,0.032351811457456206,0.07550436075945526,0.20312462689585326,1.0,0.0
task_region_scalar_gated_late,dmd_original,gaze,5000,372,0.5573838746228161,0.5563980172467689,0.4645618535324375,0.3996355569497442,0.0017687224566990153,0.13975813142858473,0.13798940897188572,0.13806742930459304,0.0463766966154607,0.04670041743238943,0.22983347163398635,0.9986,0.0014
task_region_scalar_gated_late,DriveAct,gaze,5000,372,0.5573838746228161,0.5563980172467689,0.5303216369043754,0.5222939771149834,0.0017687224566990153,0.015137341625832097,0.01336861916913308,0.013119341266509451,0.0480015711955175,-0.08318757733918689,0.10701771791261719,0.6068,0.3932
task_region_scalar_gated_late,pose_guided,gaze,5000,372,0.5573838746228161,0.5563980172467689,0.49856738290950403,0.48414671710049917,0.0017687224566990153,0.02892420624239349,0.027155483785694476,0.02491686683776941,0.053742108169234575,-0.08222440688467822,0.1295970424025353,0.6774,0.3226
task_region_scalar_gated_late,skateformer,gaze,5000,372,0.5573838746228161,0.5563980172467689,0.5518505323475471,0.4391074763851443,0.0017687224566990153,0.204299985872622,0.20253126341592298,0.20140516830792135,0.04495066968685474,0.11313441396771105,0.28859210143698955,1.0,0.0
task_region_scalar_gated_late,spatiotemporal,gaze,5000,372,0.5573838746228161,0.5563980172467689,0.5507876676442766,0.4721182705322706,0.0017687224566990153,0.14283071632390681,0.1410619938672078,0.14165477268619484,0.04698476052652285,0.049838307571193244,0.23267228038827795,0.9992,0.0008
task_region_scalar_gated_late,attention_bias,gaze,5000,372,0.5573838746228161,0.5563980172467689,0.5192138522562753,0.5107398876372753,0.0017687224566990153,0.016320759899174177,0.014552037442475161,0.01448829818216213,0.05246852262746903,-0.08292815583124151,0.1216683157116541,0.5926,0.4074
task_region_scalar_gated_late,dfs,gaze,5000,372,0.5573838746228161,0.5563980172467689,0.511152258586183,0.4632276568549261,0.0017687224566990153,0.09375797705328245,0.09198925459658344,0.0910247589891652,0.0408989695125474,0.00929834335180592,0.17018082537645934,0.9862,0.0138
task_region_scalar_gated_late,hgnet_task_gated_late,gaze,5000,372,0.5573838746228161,0.5563980172467689,0.49025802330576773,0.45452412878546844,0.0017687224566990153,0.07288793415220154,0.07111921169550253,0.07023364872216892,0.03559026937577237,0.00010722301906589363,0.14078400944861796,0.9752,0.0248
task_region_scalar_gated_late,hgnet_task_region_scalar_gated_late,gaze,5000,372,0.5573838746228161,0.5563980172467689,0.6667486949473301,0.5552635963478341,0.0017687224566990153,0.1672070743360103,0.16543835187931127,0.16442514953342646,0.040394949650384745,0.08554033725982556,0.24439172655880068,1.0,0.0
task_region_scalar_gated_late,hgnet_explicit_region_scalar_mask_gate,gaze,5000,372,0.5573838746228161,0.5563980172467689,0.6452517074359467,0.5851258700658954,0.0017687224566990153,0.09318198879159091,0.0914132663348919,0.09088051670715722,0.04200691643485461,0.01088832673254357,0.17590107927821835,0.9872,0.0128
